objectid,stationid,sampledate,trawlnumber,lat,lon,final_stratum,areaweight,region,debristype,debriscount,comments,Plastic_count,Recyclable_count,Misc_count,Metal_count,Biodegrable_count,Fabric_Cloth_count,trash_present
2292,B18-10879,9/7/2018 0:00,1,32.66821,-117.206,Inner Shelf,40.43039795,South San Diego Shelf,Food Bag/Wrapper,1,,1,0,0,0,0,0,1
2293,B18-10879,9/7/2018 0:00,1,32.66821,-117.206,Inner Shelf,40.43039795,South San Diego Shelf,Foliose Algae - not kelp,-88,Bryozoan mat,0,0,0,0,0,0,1
2294,B18-10879,9/7/2018 0:00,1,32.66821,-117.206,Inner Shelf,40.43039795,South San Diego Shelf,Kelp Stipe/Blade,2,,0,0,0,0,0,0,1
2295,B18-10879,9/7/2018 0:00,1,32.66821,-117.206,Inner Shelf,40.43039795,South San Diego Shelf,Seagrass,-88,,0,0,0,0,0,0,1
2296,B18-10925,8/9/2018 0:00,1,33.24229,-117.5077,Mid Shelf,67.32610042,North San Diego Shelf,Kelp Stipe/Blade,1,Small fragments,0,0,0,0,0,0,1
2297,B18-10930,9/5/2018 0:00,1,32.70749,-117.3365,Mid Shelf,67.32610042,South San Diego Shelf,Kelp Stipe/Blade,1,,0,0,0,0,0,0,1
2298,B18-10989,9/5/2018 0:00,1,32.74153,-117.36,Outer Shelf,23.28776249,San Diego Slope,Bag,1,,1,0,0,0,0,0,1
2299,B18-10989,9/5/2018 0:00,1,32.74153,-117.36,Outer Shelf,23.28776249,San Diego Slope,Glass Bottle/Jar -other,1,,0,1,0,0,0,0,1
2300,B18-10989,9/5/2018 0:00,1,32.74153,-117.36,Outer Shelf,23.28776249,San Diego Slope,Paper,2,,0,0,0,0,2,0,1
2301,B18-10992,9/7/2018 0:00,1,32.59962,-117.3434,Outer Shelf,23.28776249,North San Diego Shelf,Other Marine (comment req.),68,Encrusting coral,0,0,0,0,0,0,1
2302,B18-10992,9/7/2018 0:00,1,32.59962,-117.3434,Outer Shelf,23.28776249,North San Diego Shelf,Other Metal (comment req.),100,Count is a very rough estimate; Aluminum plane pieces (20.3 kg),0,0,0,100,0,0,1
2303,B18-11032,8/9/2018 0:00,1,33.13011,-117.4396,Upper Slope,125.2249344,San Diego Slope,None,0,No problem with trawl,0,0,0,0,0,0,1
2304,B18-10000,7/19/2018 0:00,1,33.75935,-118.16285,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,1 Egregia strand,0,0,0,0,0,0,1
2305,B18-10001,7/19/2018 0:00,1,33.75286667,-118.1502833,Bays,0.269230769,Los Angeles/Long Beach,None,0,No problems with trawl,0,0,0,0,0,0,1
2306,B18-10002,7/30/2018 0:00,1,33.7442,-118.1687667,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,1 blade of Macrocystis,0,0,0,0,0,0,1
2307,B18-10003,7/19/2018 0:00,1,33.74438333,-118.1402667,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,1 apical end of Macrocystis,0,0,0,0,0,0,1
2308,B18-10003,7/19/2018 0:00,1,33.74438333,-118.1402667,Bays,0.269230769,Los Angeles/Long Beach,Food Bag/Wrapper,1,1 small piece,1,0,0,0,0,0,1
2309,B18-10004,7/19/2018 0:00,1,33.74301667,-118.1530333,Bays,0.269230769,Los Angeles/Long Beach,None,0,No problems with trawl,0,0,0,0,0,0,1
2310,B18-10005,7/17/2018 0:00,1,33.7409,-118.1752667,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,2,2 pieces of Macrocystis,0,0,0,0,0,0,1
2311,B18-10005,7/17/2018 0:00,1,33.7409,-118.1752667,Bays,0.269230769,Los Angeles/Long Beach,Stick/Branch/Driftwood,1,1 stick,0,0,0,0,1,0,1
2312,B18-10006,7/17/2018 0:00,1,33.73966667,-118.1714833,Bays,0.269230769,Los Angeles/Long Beach,None,0,No problems with trawl,0,0,0,0,0,0,1
2313,B18-10007,7/19/2018 0:00,1,33.73363333,-118.2111833,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,3,"2 small pieces of Macrocystis, 1 small piece of other brown algae",0,0,0,0,0,0,1
2314,B18-10007,7/19/2018 0:00,1,33.73363333,-118.2111833,Bays,0.269230769,Los Angeles/Long Beach,Bag,1,1 broken down piece of a grocery bag,1,0,0,0,0,0,1
2315,B18-10007,7/19/2018 0:00,1,33.73363333,-118.2111833,Bays,0.269230769,Los Angeles/Long Beach,Tire,1,"16"" car tire from a tug boat",0,0,1,0,0,0,1
2316,B18-10008,7/17/2018 0:00,1,33.73183333,-118.2044667,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,Single strand of Egregia,0,0,0,0,0,0,1
2317,B18-10008,7/17/2018 0:00,1,33.73183333,-118.2044667,Bays,0.269230769,Los Angeles/Long Beach,Foliose Algae - not kelp,1,Degraded green algae,0,0,0,0,0,0,1
2318,B18-10008,7/17/2018 0:00,1,33.73183333,-118.2044667,Bays,0.269230769,Los Angeles/Long Beach,Food Bag/Wrapper,1,1980 Ruffles Cheddar & Sour Cream potato chip bag - 1.125 oz ,1,0,0,0,0,0,1
2319,B18-10008,7/17/2018 0:00,1,33.73183333,-118.2044667,Bays,0.269230769,Los Angeles/Long Beach,Drink Can,1,Old Budweiser shredded can,0,0,0,0,0,0,1
2320,B18-10011,8/1/2018 0:00,1,33.72425,-118.2235333,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,Macrocystis blade,0,0,0,0,0,0,1
2321,B18-10012,7/17/2018 0:00,1,33.71331667,-118.2410833,Bays,0.269230769,Los Angeles/Long Beach,Bag,1,1 dog poop bag,1,0,0,0,0,0,1
2322,B18-10012,7/17/2018 0:00,1,33.71331667,-118.2410833,Bays,0.269230769,Los Angeles/Long Beach,Fishing Line/Net,2,2 pieces of fishing line,2,0,0,0,0,0,1
2323,B18-10012,7/17/2018 0:00,1,33.71331667,-118.2410833,Bays,0.269230769,Los Angeles/Long Beach,Foliose Algae - not kelp,-88,Red and green algae,0,0,0,0,0,0,1
2324,B18-10012,7/17/2018 0:00,1,33.71331667,-118.2410833,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,-88,Macrocystis  ,0,0,0,0,0,0,0
2325,B18-10012,7/17/2018 0:00,1,33.71331667,-118.2410833,Bays,0.269230769,Los Angeles/Long Beach,Seagrass,2,2 strands,0,0,0,0,0,0,0
2326,B18-10218,9/5/2018 0:00,1,34.02313333,-118.5934167,Inner Shelf,40.43039795,Santa Monica Bay,Kelp Stipe/Blade,9,"7 blades & stipes of Macrocystis, 1 strand of Egregia, 1 blade of Laminaria",0,0,0,0,0,0,0
2327,B18-10218,9/5/2018 0:00,1,34.02313333,-118.5934167,Inner Shelf,40.43039795,Santa Monica Bay,Foliose Algae - not kelp,1,Rhodomenia,0,0,0,0,0,0,0
2328,B18-10218,9/5/2018 0:00,1,34.02313333,-118.5934167,Inner Shelf,40.43039795,Santa Monica Bay,Seagrass,4,4 strands,0,0,0,0,0,0,0
2329,B18-10218,9/5/2018 0:00,1,34.02313333,-118.5934167,Inner Shelf,40.43039795,Santa Monica Bay,Other Marine (comment req.),-88,"Thalamoporella californica (Bryozoan), large quantities to explain presence of nudibranchs",0,0,0,0,0,0,0
2330,B18-10219,9/4/2018 0:00,1,33.96228333,-118.4767333,Inner Shelf,40.43039795,Santa Monica Bay,Foliose Algae - not kelp,4,"1 Sargassum, 2 Chondracanthus, 1 Plocamium",0,0,0,0,0,0,0
2331,B18-10219,9/4/2018 0:00,1,33.96228333,-118.4767333,Inner Shelf,40.43039795,Santa Monica Bay,Kelp Stipe/Blade,4,"1 stipe, 3 blades of Macrocystis",0,0,0,0,0,0,0
2332,B18-10219,9/4/2018 0:00,1,33.96228333,-118.4767333,Inner Shelf,40.43039795,Santa Monica Bay,Stick/Branch/Driftwood,1,1 stick,0,0,0,0,1,0,0
2333,B18-10250,8/21/2018 0:00,2,34.0528,-119.0490667,Mid Shelf,67.32610042,Hueneme to Dume,Other Plastic (comment req.),1,Anthropogenic house sponge,1,0,0,0,0,0,1
2334,B18-10250,8/21/2018 0:00,2,34.0528,-119.0490667,Mid Shelf,67.32610042,Hueneme to Dume,Kelp Stipe/Blade,-88,Egregia strands,0,0,0,0,0,0,0
2335,B18-10253,9/4/2018 0:00,1,33.94395,-118.5197333,Mid Shelf,67.32610042,Santa Monica Bay,Polypropylene Rope,1,1 small piece,1,0,0,0,0,0,1
2336,B18-10253,9/4/2018 0:00,1,33.94395,-118.5197333,Mid Shelf,67.32610042,Santa Monica Bay,Seagrass,5,5 strands,0,0,0,0,0,0,0
2337,B18-10254,9/4/2018 0:00,1,33.93495,-118.5395,Mid Shelf,67.32610042,Santa Monica Bay,Kelp Stipe/Blade,2,1 blade and 1 stipe of Macrocystis,0,0,0,0,0,0,0
2338,B18-10254,9/4/2018 0:00,1,33.93495,-118.5395,Mid Shelf,67.32610042,Santa Monica Bay,Seagrass,3,3 strands,0,0,0,0,0,0,0
2339,B18-10255,9/18/2018 0:00,1,33.86583333,-118.5281,Mid Shelf,67.32610042,Santa Monica Bay,Kelp Stipe/Blade,2,"1 Macrocystis stipe, 1 very large strand of Egregia (6ft long with 10 branches)",0,0,0,0,0,0,0
2340,B18-10303,8/21/2018 0:00,1,34.04463333,-119.05545,Outer Shelf,23.28776249,Hueneme to Dume,Food Bag/Wrapper,3,3 pieces of cheetos bag(s?),3,0,0,0,0,0,1
2341,B18-10303,8/21/2018 0:00,1,34.04463333,-119.05545,Outer Shelf,23.28776249,Hueneme to Dume,Polypropylene Rope,1,1 thick piece,1,0,0,0,0,0,1
2342,B18-10303,8/21/2018 0:00,1,34.04463333,-119.05545,Outer Shelf,23.28776249,Hueneme to Dume,Kelp Stipe/Blade,6,6 blades of Macrocystis,0,0,0,0,0,0,0
2343,B18-10303,8/21/2018 0:00,1,34.04463333,-119.05545,Outer Shelf,23.28776249,Hueneme to Dume,Seagrass,2,2 strands,0,0,0,0,0,0,0
2344,B18-10303,8/21/2018 0:00,1,34.04463333,-119.05545,Outer Shelf,23.28776249,Hueneme to Dume,Leaves/Seed Pod,1,1 leaf,0,0,0,0,0,0,0
2345,B18-10303,8/21/2018 0:00,1,34.04463333,-119.05545,Outer Shelf,23.28776249,Hueneme to Dume,Stick/Branch/Driftwood,1,1 stick,0,0,0,0,1,0,0
2346,B18-10304,9/11/2018 0:00,1,34.03365,-119.0301167,Outer Shelf,23.28776249,Hueneme to Dume,Seagrass,2,2 strands,0,0,0,0,0,0,0
2347,B18-10308,9/18/2018 0:00,1,33.91223333,-118.5884667,Outer Shelf,23.28776249,Santa Monica Bay,None,0,No problems with trawl,0,0,0,0,0,0,0
2348,B18-10309,8/28/2018 0:00,1,33.81898333,-118.5258833,Outer Shelf,23.28776249,Santa Monica Bay,None,0,No problems with trawl,0,0,0,0,0,0,0
2349,B18-10311,8/28/2018 0:00,1,33.76651667,-118.4604333,Outer Shelf,23.28776249,Santa Monica Bay,Kelp Stipe/Blade,5,3 blades and 2 stipes of Macrocystis,0,0,0,0,0,0,0
2350,B18-10341,8/29/2018 0:00,2,33.9582,-118.6487,Upper Slope,125.2249344,Santa Monica Bay,None,0,No problems with trawl,0,0,0,0,0,0,0
2351,B18-10411,7/30/2018 0:00,1,33.73616667,-118.2172833,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,1 Egregia strand,0,0,0,0,0,0,0
2352,B18-10417,7/30/2018 0:00,1,33.73116667,-118.1571833,Bays,0.269230769,Los Angeles/Long Beach,Kelp Stipe/Blade,1,1 blade of Macrocystis,0,0,0,0,0,0,0
2353,B18-10905,9/5/2018 0:00,1,33.99113333,-118.5358833,Mid Shelf,67.32610042,Santa Monica Bay,Kelp Stipe/Blade,9,"5 blades of Macrocystis, 4 blades of Laminariales",0,0,0,0,0,0,0
2354,B18-10905,9/5/2018 0:00,1,33.99113333,-118.5358833,Mid Shelf,67.32610042,Santa Monica Bay,Seagrass,4,4 strands,0,0,0,0,0,0,0
2355,B18-10911,8/28/2018 0:00,1,33.7777,-118.47395,Mid Shelf,67.32610042,Santa Monica Bay,Kelp Stipe/Blade,4,4 beat up blades of Macrocystis,0,0,0,0,0,0,0
2356,B18-10911,8/28/2018 0:00,1,33.7777,-118.47395,Mid Shelf,67.32610042,Santa Monica Bay,Other Marine (comment req.),-88,large worm tubes and large shell hash,0,0,0,0,0,0,0
2357,B18-10968,9/5/2018 0:00,1,33.92333333,-118.5675667,Outer Shelf,23.28776249,Hueneme to Dume,Kelp Stipe/Blade,1,1 blade of Macrocystis,0,0,0,0,0,0,0
2358,B18-10968,9/5/2018 0:00,1,33.92333333,-118.5675667,Outer Shelf,23.28776249,Hueneme to Dume,Seagrass,5,5 strands,0,0,0,0,0,0,0
2359,B18-10968,9/5/2018 0:00,1,33.92333333,-118.5675667,Outer Shelf,23.28776249,Hueneme to Dume,Stick/Branch/Driftwood,1,1 stick,0,0,0,0,1,0,0
2360,B18-10207,8/8/2018 0:00,1,34.3960926,-119.6623071,Inner Shelf,40.43039795,East Santa Barbara Channel,Beer Bottle,1,,0,1,0,0,0,0,1
2361,B18-10207,8/8/2018 0:00,1,34.3960926,-119.6623071,Inner Shelf,40.43039795,East Santa Barbara Channel,Kelp Stipe/Blade,10,,0,0,0,0,0,0,0
2362,B18-10211,8/27/2018 0:00,1,34.22829,-119.35223,Inner Shelf,40.43039795,East Santa Barbara Channel,Foliose Algae - not kelp,5,,0,0,0,0,0,0,0
2363,B18-10211,8/27/2018 0:00,1,34.22829,-119.35223,Inner Shelf,40.43039795,East Santa Barbara Channel,Stick/Branch/Driftwood,1,,0,0,0,0,1,0,0
2364,B18-10212,8/27/2018 0:00,1,34.19941,-119.29601,Inner Shelf,40.43039795,East Santa Barbara Channel,Foliose Algae - not kelp,8,,0,0,0,0,0,0,0
2365,B18-10215,8/27/2018 0:00,1,34.10112,-119.1507,Inner Shelf,40.43039795,Hueneme to Dume,Foliose Algae - not kelp,-88,,0,0,0,0,0,0,0
2366,B18-10215,8/27/2018 0:00,1,34.10112,-119.1507,Inner Shelf,40.43039795,Hueneme to Dume,Kelp Stipe/Blade,5,,0,0,0,0,0,0,0
2367,B18-10215,8/27/2018 0:00,1,34.10112,-119.1507,Inner Shelf,40.43039795,Hueneme to Dume,Seagrass,5,,0,0,0,0,0,0,0
2368,B18-10221,8/27/2018 0:00,1,34.07996,-119.0598,Inner Shelf,40.43039795,Hueneme to Dume,Plastic Piece (unid.),1,,1,0,0,0,0,0,1
2369,B18-10221,8/27/2018 0:00,1,34.07996,-119.0598,Inner Shelf,40.43039795,Hueneme to Dume,Kelp Holdfast,1,,0,0,0,0,0,0,0
2370,B18-10221,8/27/2018 0:00,1,34.07996,-119.0598,Inner Shelf,40.43039795,Hueneme to Dume,Kelp Stipe/Blade,-88,,0,0,0,0,0,0,0
2371,B18-10221,8/27/2018 0:00,1,34.07996,-119.0598,Inner Shelf,40.43039795,Hueneme to Dume,Stick/Branch/Driftwood,4,,0,0,0,0,4,0,0
2372,B18-10214,8/27/2018 0:00,1,34.12478,-119.19244,Inner Shelf,40.43039795,Hueneme to Dume,Foliose Algae - not kelp,2,,0,0,0,0,0,0,0
2373,B18-10214,8/27/2018 0:00,1,34.12478,-119.19244,Inner Shelf,40.43039795,Hueneme to Dume,Other Foliose Algae,-88,,0,0,0,0,0,0,0
2374,B18-10251,8/28/2018 0:00,3,34.01583,-118.9119,Mid Shelf,67.32610042,Hueneme to Dume,Seagrass,1,,0,0,0,0,0,0,0
2375,B18-10213,9/3/2018 0:00,1,34.17862,-119.34675,Inner Shelf,40.43039795,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2376,B18-10249,9/3/2018 0:00,1,34.19524,-119.39093,Mid Shelf,67.32610042,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2377,B18-10210,9/3/2018 0:00,1,34.24353,-119.38537,Inner Shelf,40.43039795,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2378,B18-10300,9/4/2018 0:00,6,34.08896,-119.27475,Outer Shelf,23.28776249,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2379,B18-10848,9/5/2018 0:00,1,34.10945,-119.20938,Inner Shelf,40.43039795,East Santa Barbara Channel,Stick/Branch/Driftwood,1,,0,0,0,0,1,0,0
2380,B18-10299,9/5/2018 0:00,3,34.10704,-119.31886,Outer Shelf,23.28776249,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2381,B18-10295,9/5/2018 0:00,2,34.13272,-119.36348,Outer Shelf,23.28776249,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2382,B18-10953,9/7/2018 0:00,1,34.16299,-119.46716,Outer Shelf,23.28776249,Hueneme to Dume,None,0,No debris present in sample,0,0,0,0,0,0,0
2383,B18-10205,9/11/2018 0:00,1,34.40361,-119.81217,Inner Shelf,40.43039795,East Santa Barbara Channel,Foliose Algae - not kelp,-88,,0,0,0,0,0,0,0
2384,B18-10205,9/11/2018 0:00,1,34.40361,-119.81217,Inner Shelf,40.43039795,East Santa Barbara Channel,Kelp Stipe/Blade,-88,,0,0,0,0,0,0,0
2385,B18-10205,9/11/2018 0:00,1,34.40361,-119.81217,Inner Shelf,40.43039795,East Santa Barbara Channel,Other Marine (comment req.),-88,Bryozoan,0,0,0,0,0,0,0
2386,B18-10243,9/11/2018 0:00,1,34.40102,-119.83283,Mid Shelf,67.32610042,East Santa Barbara Channel,Kelp Stipe/Blade,-88,,0,0,0,0,0,0,0
2387,B18-10243,9/11/2018 0:00,1,34.40102,-119.83283,Mid Shelf,67.32610042,East Santa Barbara Channel,Fishing Gear,1,,0,0,0,0,0,0,1
2388,B18-10244,9/11/2018 0:00,1,34.3591,-119.82501,Mid Shelf,67.32610042,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2389,B18-10245,9/11/2018 0:00,1,34.3576,-119.67377,Mid Shelf,67.32610042,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2390,B18-10842,9/14/2018 0:00,1,34.32716,-119.41375,Inner Shelf,40.43039795,East Santa Barbara Channel,Kelp Stipe/Blade,1,,0,0,0,0,0,0,0
2391,B18-10842,9/14/2018 0:00,1,34.32716,-119.41375,Inner Shelf,40.43039795,East Santa Barbara Channel,Other Foliose Algae,1,,0,0,0,0,0,0,0
2392,B18-10208,9/14/2018 0:00,1,34.33409,-119.43464,Inner Shelf,40.43039795,East Santa Barbara Channel,Kelp Stipe/Blade,1,,0,0,0,0,0,0,0
2393,B18-10248,9/14/2018 0:00,2,34.22984,-119.5182,Mid Shelf,67.32610042,East Santa Barbara Channel,None,0,No debris present in sample,0,0,0,0,0,0,0
2394,B18-10247,9/14/2018 0:00,1,34.31191,-119.54771,Mid Shelf,67.32610042,East Santa Barbara Channel,Foliose Algae - not kelp,-88,,0,0,0,0,0,0,0
2395,B18-10246,9/14/2018 0:00,1,34.3441,-119.56253,Mid Shelf,67.32610042,East Santa Barbara Channel,Kelp Stipe/Blade,-88,,0,0,0,0,0,0,0
2396,B18-10224,8/16/2018 0:00,1,33.6952,-118.29596,Inner Shelf,40.43039795,Palos Verdes Shelf,Kelp Stipe/Blade,-88,"Macrocystis, Egregia, Laminaria, reds",0,0,0,0,0,0,0
2397,B18-10224,8/16/2018 0:00,1,33.6952,-118.29596,Inner Shelf,40.43039795,Palos Verdes Shelf,Seagrass,1,,0,0,0,0,0,0,0
2398,B18-10283,7/18/2018 0:00,1,34.27778,-119.71841,Outer Shelf,23.28776249,East Santa Barbara Channel,Food Bag/Wrapper,1,,1,0,0,0,0,0,1
2399,B18-10283,7/18/2018 0:00,1,34.27778,-119.71841,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,1,Macrocystis,0,0,0,0,0,0,0
2400,B18-10283,7/18/2018 0:00,1,34.27778,-119.71841,Outer Shelf,23.28776249,East Santa Barbara Channel,Seagrass,2,,0,0,0,0,0,0,0
2401,B18-10284,7/18/2018 0:00,1,34.27256,-119.65716,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,6,Macrocystis,0,0,0,0,0,0,0
2402,B18-10284,7/18/2018 0:00,1,34.27256,-119.65716,Outer Shelf,23.28776249,East Santa Barbara Channel,Seagrass,5,,0,0,0,0,0,0,0
2403,B18-10286,7/17/2018 0:00,1,34.24393,-119.70575,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Holdfast,1,,0,0,0,0,0,0,0
2404,B18-10286,7/17/2018 0:00,1,34.24393,-119.70575,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,1,,0,0,0,0,0,0,0
2405,B18-10286,7/17/2018 0:00,1,34.24393,-119.70575,Outer Shelf,23.28776249,East Santa Barbara Channel,Other Plastic (comment req.),1,zip tie,1,0,0,0,0,0,1
2406,B18-10286,7/17/2018 0:00,1,34.24393,-119.70575,Outer Shelf,23.28776249,East Santa Barbara Channel,Plastic Piece (unid.),1,,1,0,0,0,0,0,1
2407,B18-10290,7/19/2018 0:00,1,34.2068,-119.56755,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,3,,0,0,0,0,0,0,0
2408,B18-10290,7/19/2018 0:00,1,34.2068,-119.56755,Outer Shelf,23.28776249,East Santa Barbara Channel,Leaves/Seed Pod,1,,0,0,0,0,0,0,0
2409,B18-10291,7/19/2018 0:00,1,34.19691,-119.57135,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,2,Macrocystis,0,0,0,0,0,0,0
2410,B18-10291,7/19/2018 0:00,1,34.19691,-119.57135,Outer Shelf,23.28776249,East Santa Barbara Channel,Seagrass,5,,0,0,0,0,0,0,0
2411,B18-10292,7/19/2018 0:00,1,34.19563,-119.63735,Upper Slope,125.2249344,East Santa Barbara Channel,None,0,No debris present,0,0,0,0,0,0,0
2412,B18-10294,7/20/2018 0:00,1,34.13289,-119.37902,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,1,Macrocystis,0,0,0,0,0,0,0
2413,B18-10294,7/20/2018 0:00,1,34.13289,-119.37902,Outer Shelf,23.28776249,East Santa Barbara Channel,Other Plastic (comment req.),1,plastic sheet,1,0,0,0,0,0,1
2414,B18-10294,7/20/2018 0:00,1,34.13289,-119.37902,Outer Shelf,23.28776249,East Santa Barbara Channel,Rock,3,,0,0,0,0,0,0,0
2415,B18-10296,7/20/2018 0:00,1,34.13269,-119.36993,Outer Shelf,23.28776249,East Santa Barbara Channel,Kelp Stipe/Blade,1,,0,0,0,0,0,0,0
2416,B18-10296,7/20/2018 0:00,1,34.13269,-119.36993,Outer Shelf,23.28776249,East Santa Barbara Channel,Stick/Branch/Driftwood,2,,0,0,0,0,2,0,0
2417,B18-10297,7/20/2018 0:00,1,34.12282,-119.3313,Outer Shelf,23.28776249,East Santa Barbara Channel,Fishing Gear,1,hook,0,0,0,0,0,0,1
2418,B18-10297,7/20/2018 0:00,1,34.12282,-119.3313,Outer Shelf,23.28776249,East Santa Barbara Channel,Fishing Line/Net,1,monofilament,1,0,0,0,0,0,1
