stationid,sample_date,latitude,longitude,stratum,area_weight,smcshed,county,location,totalcount,totalbiodegradable,totalbiohazard,totalconstruction,totalfabric_Cloth,totalglass,totallarge,totalmetal,totalmiscellaneous,totalplastic,totaltoxic,trash_present
SMC02484,6/5/2013,34.145104,-118.367645,Urban,6.75388271,LosAngeles,LOS ANGELES,Tujunga Wash,20,0,0,0,1,0,0,2,0,9,8,1
SMC02488,6/3/2013,34.24585,-118.543435,Urban,6.75388271,LosAngeles,LOS ANGELES,Wilbur Wash,1,0,0,0,0,0,0,0,0,1,0,1
SMC02561,6/1/2011,33.129743,-116.635916,Open,4.21234024,CentralSanDiego,SAN DIEGO,Santa Ysabel Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC02567,7/10/2012,34.184717,-116.896877,Open,1.58271825,UpperSantaAna,SAN BERNARDINO,Santa A River,9,2,0,3,0,0,0,1,0,3,0,1
SMC02568,6/12/2012,34.278661,-118.220314,Open,2.37724297,LosAngeles,LOS ANGELES,Big Tujunga Wash,1,0,0,0,0,0,0,1,0,0,0,1
SMC02712,6/7/2012,34.361795,-118.303487,Open,2.9941967,LosAngeles,LOS ANGELES,Pacoima Canyon,0,0,0,0,0,0,0,0,0,0,0,0
SMC02749,6/27/2011,33.930154,-117.374356,Urban,1.73034524,MiddleSantaAna,RIVERSIDE,Gage Cal,6,0,0,0,1,0,0,0,1,4,0,1
SMC02764,6/14/2011,34.447782,-118.754901,Open,2.37027444,SantaClara,VENTURA,Piru Creek,4,0,0,1,0,0,0,1,0,2,0,1
SMC02796,6/18/2013,34.083977,-118.086323,Urban,6.75388271,LosAngeles,LOS ANGELES,Rubio Wash,11,3,0,2,1,0,0,1,0,2,2,1
SMC02804,6/20/2011,34.145341,-118.408663,Urban,8.65300194,LosAngeles,LOS ANGELES,Los Angeles River,0,0,0,0,0,0,0,0,0,0,0,0
SMC02888,6/26/2012,34.544013,-118.436264,Open,3.06541305,SantaClara,LOS ANGELES,Boquet Canyon Creek,15,0,0,0,8,1,0,0,0,6,0,1
SMC02902,8/2/2011,32.949075,-117.064432,Urban,7.63514504,CentralSanDiego,SAN DIEGO,Poway Creek,43,1,0,1,0,1,1,0,6,32,1,1
SMC02905,7/9/2013,33.240931,-117.328701,Urban,0.96869634,NorthernSanDiego,SAN DIEGO,San Luis Rey River,18,3,0,0,3,0,0,2,3,6,1,1
SMC02936,6/18/2013,34.185903,-118.642105,Urban,6.75388271,LosAngeles,LOS ANGELES,Bell Creek Trib,7,1,0,0,0,0,0,2,0,4,0,1
SMC02947,7/12/2011,33.699192,-117.811432,Urban,0.91855812,LowerSantaAna,ORANGE,Peter's Cyn Wash,217,0,0,0,0,0,0,0,0,217,0,1
SMC02972,7/18/2012,34.249578,-118.075503,Open,5.55111326,SanGabriel,LOS ANGELES,French Valley Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC03011,6/13/2013,33.6145,-117.695501,Urban,4.74449965,SanJuan,ORANGE,Aliso Creek,53,23,0,0,0,0,0,3,0,21,6,1
SMC03110,7/26/2011,32.811057,-117.073358,Urban,1.5061776,MissionBaySanDiego,SAN DIEGO,San Diego River,0,0,0,0,0,0,0,0,0,0,0,0
SMC03111,6/6/2012,34.245366,-117.610538,Open,1.16995489,MiddleSantaAna,SAN BERNARDINO,Ice House Canyon,8,4,0,0,0,0,0,2,0,2,0,1
SMC03210,5/18/2011,33.003129,-116.729186,Open,2.13818637,MissionBaySanDiego,SAN DIEGO,San Diego River,0,0,0,0,0,0,0,0,0,0,0,0
SMC03216,7/27/2011,34.280921,-117.840935,Open,2.96271964,SanGabriel,LOS ANGELES,NA,0,0,0,0,0,0,0,0,0,0,0,0
SMC03222,7/11/2012,33.022094,-117.06725,Urban,8.26323917,CentralSanDiego,SAN DIEGO,Rancho Berrdo Channel,3,0,0,0,0,0,0,0,1,2,0,1
SMC03234,6/28/2011,33.661524,-116.627414,Open,0.62454535,SanJacinto,RIVERSIDE,San Jacinto,0,0,0,0,0,0,0,0,0,0,0,0
SMC03280,8/11/2011,34.256856,-117.856527,Open,2.96271964,SanGabriel,LOS ANGELES,North Fork SGR,58,4,0,0,5,1,0,3,6,39,0,1
SMC03438,7/2/2012,33.937083,-117.792529,Open,1.81486741,LowerSantaAna,ORANGE,Carbon Cyn Creek,11,0,0,2,0,2,0,1,1,5,0,1
SMC03452,6/13/2012,34.303549,-117.832306,Open,5.55111326,SanGabriel,LOS ANGELES,Rockbound Canyon,2,0,0,0,0,0,0,0,0,2,0,1
SMC03488,6/6/2012,34.248016,-117.626851,Open,1.16995489,MiddleSantaAna,SAN BERNARDINO,Ice House Canyon,6,1,0,0,0,0,1,2,0,2,0,1
SMC03510,7/21/2011,32.563637,-116.787345,Open,1.4546987,SouthernSanDiego,SAN DIEGO,Tijua River,0,0,0,0,0,0,0,0,0,0,0,0
SMC03523,6/11/2013,33.584781,-117.664379,Urban,4.74449965,SanJuan,ORANGE,Oso Creek,41,1,0,4,1,1,2,4,5,23,0,1
SMC03646,6/5/2013,33.9784,-118.169105,Urban,3.59502488,LosAngeles,LOS ANGELES,LA River,42,0,0,0,0,0,0,3,0,30,9,1
SMC03737,7/6/2012,33.119688,-117.092598,Urban,3.7549644,CentralSanDiego,SAN DIEGO,Escondido Creek,70,7,0,0,2,3,0,3,1,52,2,1
SMC03786,6/19/2012,32.894218,-116.658443,Open,2.13818637,MissionBaySanDiego,SAN DIEGO,King Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC03929,7/5/2012,33.178652,-117.304535,Urban,4.54436259,CentralSanDiego,SAN DIEGO,Bue Vista Creek,87,2,0,3,1,0,1,6,3,70,1,1
SMC03971,7/11/2011,33.675511,-117.827752,Urban,0.92112577,LowerSantaAna,ORANGE,San Joaquin Channel,25,2,0,0,0,0,0,5,2,16,0,1
SMC03984,6/18/2012,34.246131,-117.901868,Open,2.96271964,SanGabriel,LOS ANGELES,West Fork - SGRiver,1,0,0,0,0,0,0,0,0,1,0,1
SMC04078,7/11/2012,33.997617,-117.72327,Urban,2.55254616,MiddleSantaAna,SAN BERNARDINO,Chino Creek,45,3,0,0,0,0,0,0,1,41,0,1
SMC04121,7/8/2012,33.184665,-117.198338,Urban,4.54436259,CentralSanDiego,SAN DIEGO,Bue Vista Creek,2,0,0,0,0,1,0,1,0,0,0,1
SMC04134,7/26/2011,32.828743,-117.05243,Open,2.13818637,MissionBaySanDiego,SAN DIEGO,San Diego River,0,0,0,0,0,0,0,0,0,0,0,0
SMC04204,7/11/2012,34.203587,-118.018534,Open,4.08636922,LosAngeles,LOS ANGELES,Santa Anita Wash,12,9,0,0,0,0,0,1,2,0,0,1
SMC04309,5/16/2011,33.474861,-117.466052,Open,2.54185528,SanJuan,SAN DIEGO,San Mateo Canyon Cr,0,0,0,0,0,0,0,0,0,0,0,0
SMC04409,5/31/2011,33.603476,-117.453146,Open,2.54185528,SanJuan,RIVERSIDE,San Juan Creek,26,0,0,0,3,0,0,4,4,15,0,1
SMC04426,7/25/2011,33.006967,-116.669951,Open,2.13818637,MissionBaySanDiego,SAN DIEGO,Ceder Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC04432,6/26/2012,34.410891,-118.148816,Open,3.17768051,SantaClara,LOS ANGELES,Gleason Canyon,0,0,0,0,0,0,0,0,0,0,0,0
SMC04441,7/19/2013,33.174449,-117.276888,Urban,4.54436259,CentralSanDiego,SAN DIEGO,Calaveras Creek,21,1,0,12,0,1,1,4,0,2,0,1
SMC04471,7/9/2012,34.111069,-117.147564,Urban,1.61013307,UpperSantaAna,SAN BERNARDINO,Plunge Creek,1,0,0,1,0,0,0,0,0,0,0,1
SMC04524,7/9/2013,34.247611,-118.033674,Open,2.96271964,SanGabriel,LOS ANGELES,West Fork San Gabriel River,0,0,0,0,0,0,0,0,0,0,0,0
SMC04532,7/11/2012,34.155954,-118.287714,Urban,3.59502488,LosAngeles,LOS ANGELES,LA River,85,0,0,0,0,0,0,1,3,79,2,1
SMC04565,5/31/2011,33.531606,-117.414154,Open,2.54185528,SanJuan,RIVERSIDE,San Mateo Canyon Cr,1,0,0,0,0,0,0,0,0,1,0,1
SMC04661,7/18/2011,33.406069,-117.224996,Open,1.42556761,NorthernSanDiego,SAN DIEGO,Santa Margarita River,0,0,0,0,0,0,0,0,0,0,0,0
SMC04682,6/25/2011,32.971153,-116.648146,Open,2.19403654,MissionBaySanDiego,SAN DIEGO,Boulder Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC04806,7/11/2013,32.890367,-117.193586,Urban,8.26323917,CentralSanDiego,SAN DIEGO,Carroll Creek,24,3,0,0,0,0,0,2,0,19,0,1
SMC04868,6/15/2011,34.404915,-118.939435,Agriculture,1.0296417,SantaClara,VENTURA,Sespe Creek (lower),19,0,0,0,0,0,1,0,1,11,6,1
SMC04880,6/6/2012,34.308848,-118.09829,Open,2.37724297,LosAngeles,LOS ANGELES,Big Tujunga Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC04934,7/12/2013,33.033129,-117.162704,Urban,3.3229048,CentralSanDiego,SAN DIEGO,San Dieguito Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC04972,7/1/2013,34.240519,-117.934666,Open,2.96271964,SanGabriel,LOS ANGELES,West Fork San Gabriel River,0,0,0,0,0,0,0,0,0,0,0,0
SMC05017,7/19/2013,33.112709,-117.107772,Urban,3.7549644,CentralSanDiego,SAN DIEGO,Escondido Creek,23,2,1,0,0,1,0,1,0,17,1,1
SMC05020,7/15/2013,34.232029,-118.176577,Open,2.9941967,LosAngeles,LOS ANGELES,Arroyo Seco,0,0,0,0,0,0,0,0,0,0,0,0
SMC05127,6/11/2013,34.182821,-117.009682,Open,1.13036222,UpperSantaAna,SAN BERNARDINO,Bear Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC05146,7/10/2012,32.845269,-116.613469,Open,2.64018999,SouthernSanDiego,SAN DIEGO,Sweetwater River,2,0,0,1,0,0,0,0,0,1,0,1
SMC05165,6/22/2011,33.581834,-117.255719,Urban,1.46102589,NorthernSanDiego,RIVERSIDE,Slaughterhouse Cyn Creek,18,0,0,4,0,0,0,1,3,10,0,1
SMC05173,5/17/2011,33.397108,-117.283647,Open,1.42556761,NorthernSanDiego,SAN DIEGO,Santa Margarita River,3,0,0,0,0,2,0,0,0,1,0,1
SMC05230,7/2/2012,33.873084,-117.750774,Urban,0.78985499,LowerSantaAna,ORANGE,Santa A River,23,0,0,0,0,0,0,4,1,18,0,1
SMC00957,10/1/2013,33.961957,-117.370757,Urban,1.73034524,MiddleSantaAna,RIVERSIDE,NA,52,2,0,0,2,3,0,9,3,29,4,1
SMC05379,6/15/2012,33.727772,-117.779134,Urban,0.70172707,LowerSantaAna,ORANGE,Peters Canyon Wash,8,0,0,2,0,0,0,0,0,5,1,1
SMC05383,6/10/2013,34.165637,-117.015477,Open,1.13036222,UpperSantaAna,SAN BERNARDINO,Bear Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC05402,7/28/2011,32.804685,-116.573111,Open,1.4546987,SouthernSanDiego,SAN DIEGO,Pine Valley Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC05514,5/18/2011,32.97974,-116.742466,Open,0.62886372,MissionBaySanDiego,SAN DIEGO,San Diego River,0,0,0,0,0,0,0,0,0,0,0,0
SMC05640,6/17/2013,34.282339,-118.222031,Open,2.37724297,LosAngeles,LOS ANGELES,Big Tujunga Creek,39,6,0,0,2,2,0,12,2,10,5,1
SMC05848,6/18/2013,34.319046,-118.318558,Open,2.9941967,LosAngeles,LOS ANGELES,Gold Creek,2,0,0,0,0,0,0,2,0,0,0,1
SMC05856,6/13/2013,34.191524,-117.676019,Open,0.98049731,MiddleSantaAna,LOS ANGELES,San Antonio Creek,1,0,0,1,0,0,0,0,0,0,0,1
SMC05968,7/1/2013,34.234895,-117.805548,Open,3.74136339,SanGabriel,LOS ANGELES,San Gabriel River,11,0,0,1,0,0,0,0,0,10,0,1
SMC06044,6/17/2013,34.21452,-118.174132,Open,2.9941967,LosAngeles,LOS ANGELES,Arroyo Seco,0,0,0,0,0,0,0,0,0,0,0,0
SMC06113,6/20/2012,33.264518,-116.813079,Open,2.42465262,NorthernSanDiego,SAN DIEGO,San Luis Rey River,1,0,0,0,0,0,0,0,1,0,0,1
SMC06139,6/27/2012,34.55464,-119.240503,Open,2.42781621,SantaClara,VENTURA,Sespe Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC06231,6/6/2013,34.232986,-117.430198,Open,1.13036222,UpperSantaAna,SAN BERNARDINO,Cajon Wash,1,0,0,0,0,0,0,0,0,1,0,1
SMC06283,6/13/2012,34.693866,-118.860798,Open,2.37027444,SantaClara,VENTURA,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC06288,7/8/2013,34.266787,-117.844095,Open,0.27357956,SanGabriel,LOS ANGELES,North Fork San Gabriel River,154,9,2,0,8,2,2,10,2,116,3,1
SMC06298,7/17/2012,32.912137,-116.57126,Open,2.24344122,SouthernSanDiego,SAN DIEGO,Sweetwater River,1,0,0,0,0,0,0,1,0,0,0,1
SMC06302,6/28/2012,33.86699,-117.853662,Urban,0.70360045,LowerSantaAna,ORANGE,Carbon Cyn Creek,9,0,0,0,0,0,0,0,0,9,0,1
SMC06315,6/27/2012,34.592231,-119.310339,Open,2.42781621,SantaClara,VENTURA,Sespe Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC06458,9/29/2013,32.669016,-117.017241,Urban,0.68334134,SouthernSanDiego,SAN DIEGO,NA,86,8,1,1,0,33,0,1,1,39,2,1
SMC06660,6/14/2012,34.429633,-118.923739,Agriculture,0.87708584,SantaClara,VENTURA,Sespe Creek,16,2,0,0,0,0,0,0,0,12,2,1
SMC06679,6/6/2013,34.261882,-117.469381,Open,1.13036222,UpperSantaAna,SAN BERNARDINO,Cajon Wash,6,0,0,0,0,0,0,1,0,5,0,1
SMC06794,7/18/2012,32.830396,-116.646872,Open,2.24344122,SouthernSanDiego,SAN DIEGO,Sweetwater River,1,0,0,0,0,0,0,0,0,1,0,1
SMC06798,5/19/2011,33.531543,-117.741447,Open,1.05477219,SanJuan,ORANGE,Aliso Creek,24,0,0,0,0,0,1,5,0,16,2,1
SMC06851,6/16/2011,33.550524,-117.675428,Urban,2.54509217,SanJuan,ORANGE,Oso Creek,85,0,0,3,0,0,0,13,15,54,0,1
SMC06969,6/20/2012,33.553349,-117.395796,Open,3.10999016,SanJuan,RIVERSIDE,San Mateo Creek,1,0,0,0,0,0,0,0,0,1,0,1
SMC07024,6/13/2012,34.6092,-118.757717,Open,2.37027444,SantaClara,LOS ANGELES,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC07085,6/21/2011,33.883821,-117.517059,Urban,1.06113912,MiddleSantaAna,RIVERSIDE,Arlington Channel,82,2,0,0,0,42,0,0,0,37,1,1
SMC07227,6/27/2012,34.562082,-119.166639,Open,2.42781621,SantaClara,VENTURA,Sespe Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC07485,6/4/2013,33.947335,-117.614058,Agriculture,0.8057192,MiddleSantaAna,SAN BERNARDINO,Cucamonga Creek,98,0,0,0,0,0,0,8,2,88,0,1
SMC08094,6/28/2012,33.819517,-117.853601,Urban,0.92112577,LowerSantaAna,ORANGE,Collins Channel,110,7,0,2,6,4,0,16,2,65,8,1
SMC08157,6/22/2011,33.539134,-117.264841,Open,3.0239607,NorthernSanDiego,RIVERSIDE,Cole Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC08183,6/3/2013,34.073347,-117.304332,Urban,0.57758972,MiddleSantaAna,SAN BERNARDINO,Warm Creek,32,0,0,0,0,25,0,1,0,6,0,1
SMC08414,7/3/2012,33.796298,-117.819955,Urban,0.92112577,LowerSantaAna,ORANGE,Santiago Creek,18,1,0,1,0,0,0,2,1,12,1,1
SMC08727,6/5/2013,34.217107,-117.461789,Open,0.19854598,MiddleSantaAna,SAN BERNARDINO,Lytle Creek,26,0,0,0,3,8,0,1,0,14,0,1
SMC09091,6/22/2013,33.713352,-117.795747,Urban,0.91855812,LowerSantaAna,ORANGE,Peter's Canyon Wash,81,2,0,0,1,0,0,0,0,76,2,1
SMC09118,5/28/2013,33.808766,-117.86259,Urban,0.92112577,LowerSantaAna,ORANGE,Collins Channel,263,0,0,0,0,84,0,5,5,164,5,1
SMC09162,8/1/2011,32.840879,-116.709882,Urban,0.75430935,SouthernSanDiego,SAN DIEGO,Viejas Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC09174,6/13/2012,32.83971,-117.002,Urban,1.86701805,MissionBaySanDiego,SAN DIEGO,Forrester Creek,98,4,0,5,2,5,0,6,1,72,3,1
SMC09325,6/21/2012,33.562524,-117.128863,Agriculture,1.75876913,NorthernSanDiego,RIVERSIDE,Tucalota Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC10146,6/28/2011,33.705409,-116.733559,Open,0.62454535,SanJacinto,RIVERSIDE,Coldwater Creek,7,0,0,0,0,1,0,2,2,2,0,1
SMC10259,6/7/2012,33.648887,-117.698455,Urban,2.33789757,LowerSantaAna,ORANGE,Serrano Creek,113,4,0,0,0,1,0,5,0,103,0,1
SMC11181,6/21/2011,33.888827,-117.502968,Urban,1.06113912,MiddleSantaAna,RIVERSIDE,Arlington Channel,40,3,0,0,0,1,0,0,0,34,2,1
SMC11394,6/30/2011,33.712959,-116.767804,Open,0.62454535,SanJacinto,RIVERSIDE,Strawberry Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC11430,5/12/2012,32.848374,-116.860048,Urban,1.86701805,MissionBaySanDiego,SAN DIEGO,Los Coches Creek,26,1,0,0,0,1,0,7,0,17,0,1
SMC11593,6/21/2012,33.464602,-117.277966,Agriculture,1.67395411,NorthernSanDiego,RIVERSIDE,DeLuz Ranch,1,0,0,0,0,0,0,0,0,1,0,1
SMC11685,6/21/2012,33.509877,-117.634825,Urban,1.02793105,SanJuan,ORANGE,San Juan Creek,1,0,0,0,0,0,0,0,0,1,0,1
SMC11880,6/7/2011,34.125293,-118.708279,Urban,0.60657416,SantaMonica,LOS ANGELES,Las Virgenes,9,0,0,0,0,0,0,0,1,4,4,1
SMC12185,6/15/2011,33.099184,-117.130139,Agriculture,1.27803827,CentralSanDiego,SAN DIEGO,Escondido Creek (urban),145,2,0,80,0,0,1,5,7,50,0,1
SMC12246,7/23/2013,32.839821,-117.042847,Urban,1.82264824,MissionBaySanDiego,SAN DIEGO,San Diego River,5,1,0,0,1,0,0,0,0,2,1,1
SMC12862,6/27/2011,33.921483,-118.111491,Urban,1.66656479,SanGabriel,LOS ANGELES,San Gabriel River,178,2,4,2,1,119,0,33,0,14,3,1
SMC12942,6/21/2012,33.477936,-117.678484,Urban,1.02793105,SanJuan,ORANGE,San Juan Creek,91,2,0,77,0,1,0,3,0,8,0,1
SMC13062,7/23/2013,32.775505,-117.195571,Urban,1.86701805,MissionBaySanDiego,SAN DIEGO,Tecolote Creek,5,0,0,0,0,0,0,0,0,4,1,1
SMC13076,6/28/2012,34.066349,-118.931895,Open,0.74870346,SantaMonica,LOS ANGELES,Arroyo Sequit,3,0,0,0,1,0,0,1,0,1,0,1
SMC13187,6/4/2013,33.67808,-117.802457,Urban,0.78985499,LowerSantaAna,ORANGE,San Diego Creek,83,25,0,3,1,1,0,1,4,46,2,1
SMC13214,5/22/2013,33.804533,-117.872423,Urban,0.92112577,LowerSantaAna,ORANGE,Collins Channel,140,0,0,0,0,0,0,1,1,130,8,1
SMC13416,6/8/2011,34.098751,-118.715946,Urban,0.60657416,SantaMonica,LOS ANGELES,Las Virgenes,25,0,0,0,0,0,1,2,7,15,0,1
SMC13630,6/21/2012,33.861193,-118.103514,Urban,1.66656479,SanGabriel,LOS ANGELES,San Gabriel River,30,1,0,0,0,2,0,1,0,4,22,1
SMC13672,6/8/2011,34.075401,-118.70292,Open,0.79538678,SantaMonica,LOS ANGELES,Malibu Creek,89,4,0,0,0,12,0,8,6,50,9,1
SMC14099,6/13/2013,33.627729,-117.735584,Urban,1.76500751,LowerSantaAna,ORANGE,Cada Creek,61,6,0,0,1,5,0,2,6,41,0,1
SMC14211,6/4/2013,33.689404,-117.821746,Urban,0.93984891,LowerSantaAna,ORANGE,San Diego Creek,90,4,0,3,13,0,0,8,1,61,0,1
SMC14218,7/11/2012,32.829985,-116.736039,Urban,0.75430935,SouthernSanDiego,SAN DIEGO,Viejas Creek,4,0,0,0,0,0,0,1,0,3,0,1
SMC14952,6/15/2011,34.14268,-118.700899,Urban,0.65955008,SantaMonica,LOS ANGELES,Las Virgenes,41,5,0,0,0,4,2,0,1,11,18,1
SMC15201,6/19/2012,33.117781,-116.854448,Open,1.73526094,CentralSanDiego,SAN DIEGO,Santa Ysabel Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC15464,6/15/2012,34.096529,-118.667771,Open,0.66605583,SantaMonica,LOS ANGELES,Cold Creek,2,0,0,0,1,0,0,1,0,0,0,1
SMC15678,6/25/2013,33.80989,-118.090751,Urban,1.66656479,SanGabriel,LOS ANGELES,Spring Street Channel,74,46,0,0,0,0,0,4,0,9,15,1
SMC16045,6/28/2012,33.881907,-117.522493,Urban,1.06113912,MiddleSantaAna,RIVERSIDE,Arlington Channel,96,5,1,0,0,7,0,9,3,55,16,1
SMC16169,6/3/2013,33.746559,-117.593511,Open,1.35803673,LowerSantaAna,ORANGE,Silverado Creek,3,0,0,1,0,0,0,0,0,2,0,1
SMC16232,6/6/2011,34.125498,-118.753172,Urban,0.60657416,SantaMonica,LOS ANGELES,Medea Creek,100,0,1,0,0,0,0,0,7,92,0,1
SMC16266,8/1/2011,32.818557,-116.753133,Urban,0.75430935,SouthernSanDiego,SAN DIEGO,Viejas Creek,1,0,0,0,0,0,0,0,0,1,0,1
SMC16332,6/26/2013,34.531705,-118.758128,Open,0.98790397,SantaClara,VENTURA,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC16493,6/24/2013,34.686704,-118.845469,Open,2.37027444,SantaClara,VENTURA,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC16892,6/27/2012,34.410433,-118.661072,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,3,0,0,0,0,0,0,0,0,3,0,1
SMC16978,6/26/2013,34.42319,-118.767716,Open,2.37027444,SantaClara,VENTURA,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC17016,6/5/2013,34.118309,-118.780574,Open,0.66307207,SantaMonica,LOS ANGELES,Malibu Creek,30,0,0,1,0,1,0,3,1,19,5,1
SMC17378,6/27/2012,34.402676,-118.684124,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,1,0,0,0,0,0,0,0,0,1,0,1
SMC17692,6/12/2013,34.418874,-118.632647,Agriculture,1.27456862,SantaClara,LOS ANGELES,Santa Clara River,2,0,0,0,0,0,0,1,0,1,0,1
SMC18093,6/24/2013,34.69441,-118.856582,Open,2.37027444,SantaClara,VENTURA,Piru Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC18116,6/28/2012,34.1569,-118.790484,Urban,0.65364223,SantaMonica,LOS ANGELES,Lindero Canyon,4,0,0,0,0,0,0,0,1,3,0,1
SMC18169,6/20/2011,33.891752,-117.571911,Urban,0.57758972,MiddleSantaAna,RIVERSIDE,Temescal Wash,174,0,0,2,1,0,4,16,12,138,1,1
SMC18250,6/5/2013,34.132222,-118.82051,Open,0.54679717,SantaMonica,LOS ANGELES,Potero Creek,40,0,0,1,0,0,0,0,14,11,14,1
SMC18656,6/12/2013,34.471281,-118.531668,Urban,1.0002152,SantaClara,LOS ANGELES,Seco Canyon Channel,46,0,0,0,1,0,0,0,1,41,3,1
SMC18666,6/15/2011,34.172068,-118.763755,Urban,0.52752872,SantaMonica,VENTURA,Medea Creek,37,0,0,0,0,8,0,0,0,20,9,1
SMC19228,7/16/2012,32.664054,-116.98501,Agriculture,0.79853573,SouthernSanDiego,SAN DIEGO,Proctor Valley,12,0,0,0,0,0,0,0,0,12,0,1
