stationid,sampledate,latitude,longitude,trashcategory,trashtype,total_counts,areaweight
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Bag - single use,5,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Fabric_Cloth,Synthetic Fabric,3,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Biodegradable,Food Waste,1,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Bag Pieces,29,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Plastic Other,6,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Chip Bags,1,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Foam Pieces/Pellets,2,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Biodegradable,Paper/ cardboard,2,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Metal,"Wire (barb, chicken, etc.)",1,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Soft Plastic Pieces,35,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Metal,Metal Other,4,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Tarp,2,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Wrapper/Wrapper Pieces,6,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Straw/Stirrer,1,19.86655861
408M03100,5/9/19 00:00,34.18106,-119.08733,Plastic,Hard Plastic Pieces,9,19.86655861
408M03115,6/19/18 00:00,34.26757,-118.94305,Plastic,Plastic Other,1,85.23642372
408M03115,6/19/18 00:00,34.26757,-118.94305,Plastic,Bag Pieces,2,85.23642372
408M03115,6/19/18 00:00,34.26757,-118.94305,Metal,Aluminum Foil pieces,1,85.23642372
408M03115,6/19/18 00:00,34.26757,-118.94305,Large,Tires,2,85.23642372
408M03115,6/19/18 00:00,34.26757,-118.94305,Plastic,Tarp,1,85.23642372
408M03115,6/19/18 00:00,34.26757,-118.94305,Plastic,Bag - single use,4,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Plastic Other,1,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Foam Plate,1,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Biodegradable,Paper/ cardboard,7,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Foam Pieces/Pellets,3,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Hard Plastic Pieces,2,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Wrapper/Wrapper Pieces,28,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Metal,Metal Other,1,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Soft Plastic Pieces,2,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Bag - single use,5,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Metal,Spray Paint Cans,1,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Plastic,Container Cap/Pieces,1,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Metal,Aluminum Foil pieces,1,85.23642372
410M01628,6/28/18 00:00,34.16241,-119.16633,Miscellaneous,Misc. Other,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Biodegradable,Paper/ cardboard,4,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Wrapper/Wrapper Pieces,2,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Fabric_Cloth,"Natural (Cotton, Wool)",3,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Biodegradable,Paper/ cardboard,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Cigarette Butts,2,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Miscellaneous,E-waste,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Miscellaneous,Waxed Paper Cups/Plates,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Soft Plastic Pieces,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Foam Pieces/Pellets,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Straw/Stirrer,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Soft Plastic Pieces,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Biodegradable,Biodegradable Other,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Cigarette Butts,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Glass,Glass Pieces,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Fabric_Cloth,Fabric Other,1,85.23642372
412CE0232,7/15/19 00:00,34.15938,-118.45802,Plastic,Foam Packing Peanuts,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Biodegradable,Paper/ cardboard,4,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Wrapper/Wrapper Pieces,2,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Fabric_Cloth,"Natural (Cotton, Wool)",3,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Biodegradable,Paper/ cardboard,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Cigarette Butts,2,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Miscellaneous,E-waste,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Miscellaneous,Waxed Paper Cups/Plates,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Soft Plastic Pieces,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Foam Pieces/Pellets,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Straw/Stirrer,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Soft Plastic Pieces,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Biodegradable,Biodegradable Other,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Cigarette Butts,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Glass,Glass Pieces,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Fabric_Cloth,Fabric Other,1,85.23642372
412CE0232,5/30/18 00:00,34.15823,-118.45476,Plastic,Foam Packing Peanuts,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Plastic,Wrapper/Wrapper Pieces,3,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Miscellaneous,Mylar balloons,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Plastic,Tarp,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Metal,Metal Other,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Plastic,Hard Plastic Pieces,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Metal,"Nails, Screws, Bolts, etc.",1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Biodegradable,Paper/ cardboard,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Plastic,Foam Pieces/Pellets,1,85.23642372
412M08599,6/20/18 00:00,34.1071,-118.2454,Fabric_Cloth,"Natural (Cotton, Wool)",1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Foam Plate,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Cigarette Butts,7,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Container Cap/Pieces,3,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Hard Plastic Container,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Soft Plastic Pieces,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Wrapper/Wrapper Pieces,10,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Miscellaneous,Misc. Other,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Fabric_Cloth,"Natural (Cotton, Wool)",2,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Biodegradable,Paper/ cardboard,14,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Miscellaneous,Ceramic Pots/Shards,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Fabric_Cloth,Fabric Other,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Lighters,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Metal,"Nails, Screws, Bolts, etc.",1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Plastic Other,3,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Plastic Bottles,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Pens/Markers,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Plastic,Hard Plastic Pieces,38,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Metal,Metal Other,4,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Metal,Metal Bottle Caps,5,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Construction,Rebar,1,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Metal,Aluminum Foil pieces,3,85.23642372
412M08641,6/20/18 00:00,34.04861,-118.2298,Metal,Aluminum or Steel Cans,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Foam Plate,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Cigarette Butts,7,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Container Cap/Pieces,3,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Hard Plastic Container,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Soft Plastic Pieces,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Wrapper/Wrapper Pieces,10,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Miscellaneous,Misc. Other,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Fabric_Cloth,"Natural (Cotton, Wool)",2,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Biodegradable,Paper/ cardboard,14,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Miscellaneous,Ceramic Pots/Shards,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Fabric_Cloth,Fabric Other,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Lighters,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Metal,"Nails, Screws, Bolts, etc.",1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Plastic Other,3,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Plastic Bottles,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Pens/Markers,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Plastic,Hard Plastic Pieces,38,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Metal,Metal Other,4,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Metal,Metal Bottle Caps,5,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Construction,Rebar,1,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Metal,Aluminum Foil pieces,3,85.23642372
412M08641,7/9/19 00:00,34.30389,-118.068563,Metal,Aluminum or Steel Cans,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Lighters,2,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Wrapper/Wrapper Pieces,64,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Cups,11,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Metal Bottle Caps,2,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Fabric_Cloth,Fabric Other,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Container Cap/Pieces,9,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Soft Plastic Pieces,33,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Hard Plastic Pieces,41,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Foam Pieces/Pellets,51,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Foam Cups,6,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Miscellaneous,Mylar balloons,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Lid,3,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Cigarette Butts,3,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Biodegradable,Food Waste,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Miscellaneous,Waxed Paper Cups/Plates,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Construction,Construction Other,4,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Fabric_Cloth,Shoes,3,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Fabric_Cloth,"Natural (Cotton, Wool)",3,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Biohazard,Human Waste/Diapers/TP,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Biohazard,Biohazard Other,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Miscellaneous,Misc. Other,8,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Metal Pipe/Bar Segments,9,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Aluminum or Steel Cans,28,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Aluminum Foil pieces,3,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Tarp,2,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Beverage Bottles,18,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Biodegradable,Biodegradable Other,2,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Fabric_Cloth,Synthetic Fabric,7,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Large,Furniture/Appliances,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Large,Tires,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Metal Other,11,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Foam Food Containers,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Plastic Other,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Plastic,Bag - single use,36,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,"Wire (barb, chicken, etc.)",1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Spray Paint Cans,2,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Biodegradable,Paper/ cardboard,5,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,"Nails, Screws, Bolts, etc.",2,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Metal,Small Batteries,4,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Glass,Glass Bottles,1,85.23642372
412M08643,5/23/18 00:00,33.80969,-118.20509,Glass,Glass Pieces,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Single Use Container,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Plastic Bottles,1,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Hard Plastic Pieces,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Cups,4,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Foam Pieces/Pellets,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Plastic Other,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Lid,13,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Metal,Spray Paint Cans,26,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Metal,Aluminum Foil pieces,9,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Soft Plastic Pieces,8,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Wrapper/Wrapper Pieces,10,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Biodegradable,Paper/ cardboard,5,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Chip Bags,4,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Metal,Aluminum or Steel Cans,1,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Fabric_Cloth,Fabric Other,1,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Construction,Bricks,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Plastic,Bag - single use,2,85.23642372
412M08645,7/15/19 00:00,34.28724,-118.50092,Glass,Glass Bottles,1,85.23642372
412M08646,7/16/19 00:00,34.12796,-118.08193,Glass,Glass Pieces,1,85.23642372
412M08646,7/16/19 00:00,34.12796,-118.08193,Metal,Metal Bottle Caps,1,85.23642372
412M08646,7/16/19 00:00,34.12796,-118.08193,Plastic,Container Cap/Pieces,1,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Metal,Aluminum or Steel Cans,2,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Glass,Glass Pieces,1,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Plastic,Single Use Container,1,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Plastic,Soft Plastic Pieces,1,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Plastic,Hard Plastic Pieces,1,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Plastic,Container Cap/Pieces,1,85.23642372
412M08647,7/16/19 00:00,34.27831,-118.30437,Plastic,Bag - single use,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Glass,Glass Pieces,2,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Hard Plastic Pieces,9,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Cigarette Butts,8,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Soft Plastic Pieces,5,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Bag Pieces,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Straw/Stirrer,2,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Fabric_Cloth,"Natural (Cotton, Wool)",1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Foam Pieces/Pellets,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Plastic Straw Wrapper,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Biodegradable,Food Waste,2,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Wrapper/Wrapper Pieces,2,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Fabric_Cloth,Synthetic Fabric,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Plastic,Plastic Other,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Miscellaneous,Misc. Other,1,85.23642372
801M12672,4/26/18 00:00,33.79779,-117.948204,Biodegradable,Paper/ cardboard,2,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Bag Pieces,6,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Foam Balls,1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Foam Other Containers,1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Beverage Bottles,1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Foam Cups,1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Bag - single use,1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Foam Packing Peanuts,5,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Foam Pieces/Pellets,10,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Fabric_Cloth,"Natural (Cotton, Wool)",1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Wrapper/Wrapper Pieces,5,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Plastic Other,1,85.23642372
801M12673,4/30/18 00:00,33.60491,-117.85297,Plastic,Soft Plastic Pieces,4,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Plastic,Wrapper/Wrapper Pieces,2,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Metal,Metal Other,1,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Plastic,Soft Plastic Pieces,1,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Biodegradable,Food Waste,1,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Plastic,Foam Packing Peanuts,1,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Plastic,Foam Pieces/Pellets,4,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Plastic,Cigarette Butts,1,85.23642372
801M12674,4/26/18 00:00,33.7305,-117.79682,Biodegradable,Paper/ cardboard,6,85.23642372
801M12675,4/23/19 00:00,33.81262,-117.85842,Plastic,Bag Pieces,3,85.23642372
801M12675,4/23/19 00:00,33.81262,-117.85842,Plastic,Bag - single use,7,85.23642372
