"objectid","stationid","sampledate","photolocation","photoid","comments","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","globalid"
12,"903M20230","2018-05-08 00:00:00","Top-Downstream","Cus_903M20230_5.818","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{31BA5DC6-CF71-4AEC-BF91-A35103F6C9A3}"
13,"903M20235","2018-06-02 00:00:00","Bottom-Upstream","Ads_903M20235_6.12.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6F6A7397-6A51-440A-AC28-DC7F514AC081}"
14,"903M20235","2018-06-02 00:00:00","Middle-Downstream","Bds_903M20235_6.12.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{051D48D3-8E12-4FCD-A363-1EA559E749C8}"
15,"903M20235","2018-06-02 00:00:00","Middle-Upstream","Bus_903M20235_6.12.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{52BC5FBB-0E83-45B9-AAA1-39FBEBF87DEF}"
16,"903M20235","2018-06-02 00:00:00","Top-Downstream","Cus_903M20235_6.12.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{16C4C3A3-D683-417A-A58E-203E756807C6}"
17,"907M23349","2018-05-09 00:00:00","Bottom-Upstream","Ads_907M23349_5.9.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{25668232-E847-4A93-A823-8ED31C0BC331}"
18,"907M23349","2018-05-09 00:00:00","Middle-Downstream","Bds_907M23349_5.9.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{CF86D4A6-0945-40EE-933F-2D49A73310CB}"
19,"907M23349","2018-05-09 00:00:00","Middle-Upstream","Bus_907M23349-5.9.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{9891FC80-D8E7-44C0-8BA1-9426AC57577B}"
20,"907M23349","2018-05-09 00:00:00","Top-Downstream","Cus_907M23349_5.9.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{DD2C22E6-7141-4445-8001-8D28349CF3CB}"
21,"903M20214","2018-05-08 00:00:00","Bottom-Upstream","Ads_903M20214_5.8.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2EEF4C07-D760-47E1-815B-08ADB25F298F}"
22,"903M20214","2018-05-08 00:00:00","Middle-Downstream","Bds_903M20214_5.8.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{8A4A76FB-8B4A-400C-8BCC-337F69264B96}"
23,"903M20214","2018-05-08 00:00:00","Middle-Upstream","Bus_903M20214_5.8.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{16969CEC-F663-4EF7-BED5-A47034CCFFBE}"
24,"903M20214","2018-05-08 00:00:00","Top-Downstream","Cus_903M20214_5.8.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{1775B9A2-BFF9-4D0B-86DF-892F06D3C51C}"
25,"907M23379","2018-05-30 00:00:00","Bottom-Upstream","Ads_907M23379_5.30.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6A610960-C4D6-4883-ACFB-F3DFC8F29EDF}"
26,"907M23379","2018-05-30 00:00:00","Middle-Downstream","Bds_907M23379_5.30.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{68588128-512E-4217-8EBB-46148E0B2FF8}"
27,"907M23379","2018-05-30 00:00:00","Middle-Upstream","Bus_907M23379_5.30.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6C375931-0EB0-43B9-ACA6-997499385401}"
28,"907M23379","2018-05-30 00:00:00","Top-Downstream","Cus_907M23379_5.30.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{8FD428E0-035A-4710-953D-24A348539CB4}"
29,"SMC09698","2018-06-05 00:00:00","Bottom-Upstream","Ads_SMC09698_6.5.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{8AF4E497-A598-4151-BEE9-C5D72219D8B0}"
30,"SMC09698","2018-06-05 00:00:00","Middle-Downstream","Bds_SMC09698_6.5.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{EDFF90EF-5A88-4F6E-8423-120D76ADC0FF}"
31,"SMC09698","2018-06-05 00:00:00","Middle-Upstream","Bus_SMC09698_6.5.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{A2A59647-3DE6-487B-905D-52F1762AA264}"
32,"SMC09698","2018-06-05 00:00:00","Top-Downstream","Cus_SMC09698_6.5.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2A335383-BA53-417F-B603-8BEBAF4CEA51}"
33,"SMC11581","2018-06-05 00:00:00","Bottom-Upstream","Ads_SMC11581_6.5.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{F080982D-6730-4838-8DF9-2A0324CB674D}"
34,"SMC11581","2018-06-05 00:00:00","Middle-Downstream","Bds_SMC11581_6.5.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{FDB9D0B8-0DC1-4782-84C2-6D740E58C4FE}"
35,"SMC11581","2018-06-05 00:00:00","Middle-Upstream","Bus_SMC11581_6.5.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{D85C2B3F-8CD3-4719-8CA0-1CF06C823E69}"
36,"SMC11581","2018-06-05 00:00:00","Top-Downstream","Cus_SMC11581_6.5.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{3C0E2248-CF58-4994-9A37-08288ECB2666}"
37,"801M16976","2018-06-06 00:00:00","Bottom-Upstream","Ads_801M16976_6.6.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2851A5B3-241D-4CF0-BCE7-E028691F91A5}"
38,"801M16976","2018-06-06 00:00:00","Middle-Downstream","Bds_801M16976_6.6.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2DB2ECFB-0BB6-4F25-AC97-4C7B6272E18A}"
39,"801M16976","2018-06-06 00:00:00","Middle-Upstream","Bus_801M16976_6.6.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{C2873EE5-A30A-465F-B1B7-875BD519FF02}"
40,"801M16976","2018-06-06 00:00:00","Top-Downstream","Cus_801M16976_6.6.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{CBEBFDD5-A28D-498F-A446-0A86B7EA107A}"
41,"801M16973","2018-06-06 00:00:00","Bottom-Upstream","Ads_801M16973_6.6.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{714D6015-5736-4348-ACFA-A3C213A2C3DE}"
42,"801M16973","2018-06-06 00:00:00","Middle-Downstream","Bds_801M16973_6.6.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{8EC1B430-4EAD-4E71-B3C8-F6ABB3072525}"
43,"801M16973","2018-06-06 00:00:00","Middle-Upstream","Bus_801M16973_6.6.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{548439AB-B9AC-43A6-A696-68B9382C98C6}"
44,"801M16973","2018-06-06 00:00:00","Top-Downstream","Cus_801M16973_6.6.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{ED4CF63B-F9B4-4CEC-BDA3-9730A9BB54FD}"
45,"408BA00660","2018-06-11 00:00:00","Bottom-Upstream","408BA00660_A_Up_06.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{3F8DA8F8-399B-4FDF-B108-996933312F20}"
46,"SMC00036","2018-06-11 00:00:00","Bottom-Upstream","SMC00036_A_Up_06.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{7C255B75-D907-4157-A9F8-8653B4DA50F3}"
47,"SMC00036","2018-06-11 00:00:00","Middle-Upstream","SMC00036_B_Up_06.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{68F7EBA0-928B-40C3-9219-2CC4495BE4C5}"
48,"SMC00036","2018-06-11 00:00:00","Middle-Downstream","SMC00036_B_Down_06.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{803F3A5A-469B-40EF-9437-424811913B79}"
49,"SMC00036","2018-06-11 00:00:00","Top-Downstream","SMC00036_C_Down_06.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{8927191B-B199-4E43-B10A-08FA64ECBFE4}"
50,"403M01626","2018-06-13 00:00:00","Bottom-Upstream","403M01626_A_Up_06.13.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2CF93E71-94ED-4129-A4A2-703534ABADBC}"
51,"403M01626","2018-06-13 00:00:00","Middle-Upstream","403M01626_B_Up_06.13.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{D2C6D783-5FB5-4611-BFCE-0B24BACA08E6}"
52,"403M01626","2018-06-13 00:00:00","Middle-Downstream","403M01626_B_Down_06.13.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{C3455858-33B8-4056-9AF0-8A8D9B384A6E}"
53,"403M01626","2018-06-13 00:00:00","Top-Downstream","403M01626_C_Down_06.13.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{FD21F15D-D6B7-4D95-8678-B84143C02707}"
54,"403M01565","2018-06-13 00:00:00","Bottom-Upstream","403M01565_A_Up_06.13.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{057E5F37-36DE-4D90-8F18-1E6B4F67D84D}"
55,"402M00114","2018-06-14 00:00:00","Bottom-Upstream","402M00114_A_Up_06.14.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{88C9A95E-8117-4207-8FAB-48D16B6ED770}"
56,"ME-VR2","2018-06-14 00:00:00","Bottom-Upstream","ME-VR2_A_Up_06.14.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{EC36A622-1534-42E4-8BCF-4F993627E6BD}"
57,"408M03115","2018-06-19 00:00:00","Bottom-Upstream","408M03115_A_Up_06.19.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{F08F1C72-A60E-4835-B9C0-06252FDD941B}"
58,"404M04624","2018-06-19 00:00:00","Bottom-Upstream","404M04624_A_Up_06.19.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{133B3D28-6EEE-4CB9-BD5A-52F38138B072}"
59,"SMC00271","2018-06-25 00:00:00","Bottom-Upstream","SMC00271_A_Up_06.25.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{C7CBE36D-D95C-4193-9CA7-B74A844C6497}"
60,"SMC00027","2018-06-26 00:00:00","Bottom-Upstream","SMC00027_A_Up_06.26.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{87A1BEF5-8FC9-4E4D-A401-40A439F017FF}"
61,"410M01628","2018-06-28 00:00:00","Bottom-Upstream","410M01628_A_Up_06.28.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{BBF96D95-550F-4970-B5DF-B9392C1ED0B2}"
62,"ME-CC","2018-06-28 00:00:00","Bottom-Upstream","ME-CC_A_Up_06.28.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{BE8EA84E-5756-4A7B-96DA-208FCA368E86}"
63,"SMC00324","2018-07-11 00:00:00","Bottom-Upstream","ME-SCR_A_UP_07.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2FFB1B83-0A43-43BF-A3AC-F84FCAC80289}"
64,"SMC00836","2018-07-11 00:00:00","Bottom-Upstream","SMC00836_A_Up_07.11.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{56A9D6AD-FE71-4855-8B47-E3157D729AAB}"
65,"402M00082","2018-07-23 00:00:00","Bottom-Upstream","402M00082_A_Up_07.23.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6DB52F77-F722-461B-8E2E-6998F66B224C}"
66,"402M00066","2018-07-23 00:00:00","Bottom-Upstream","402M00066_A_Up_07.23.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{14F7F913-6822-47B3-A94B-C7E5BD62902B}"
67,"408M03116","2018-08-21 00:00:00","Bottom-Upstream","408M03116_A_Up_08.21.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{17BEA10F-E0D7-49AE-8692-47FBFC684811}"
68,"408M03116","2018-08-21 00:00:00","Middle-Upstream","408M03116_B_Up_08.21.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{5F4123C7-628A-4ACA-9542-AF92A340BCB9}"
69,"408M03116","2018-08-21 00:00:00","Middle-Downstream","408M03116_B_Down_08.21.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{FE5DC8DE-35F0-4D3A-83D3-36803C7D919B}"
70,"408M03116","2018-08-21 00:00:00","Top-Downstream","408M03116_C_Down_08.21.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{BEB36220-3EDC-4A13-9F9A-A4C2DA607BD8}"
71,"408M03119","2018-06-28 00:00:00","Bottom-Upstream","408M03119_A_Up_06.28.18.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{BD43B7F2-3445-4CB7-9861-3854DEC8EE9C}"
72,"911M24949","2018-04-11 00:00:00","Bottom-Upstream","911M24949_A-up_04.11.2018","Transect A looking upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{7B51BCB8-2DA6-4A4C-816F-0E1BCF89F28D}"
73,"911M24949","2018-04-11 00:00:00","Top-Downstream","911M24949_C-down_04.11.2018","Transect C looking downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{CBAA7FFF-EEAB-4707-8DEE-5AEAB6488632}"
74,"911M24957","2018-05-17 00:00:00","Bottom-Upstream","911M24957_A-up_05.17.2018","Transect A looking upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{9843EAC5-E9B5-422A-A41F-44F2A7377F73}"
75,"911M24957","2018-05-17 00:00:00","Top-Downstream","911M24957_C-down_05.17.2018","Transect C looking downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{E1FE73CF-A92A-46B5-9931-9FCE79260112}"
76,"SMC00480","2018-07-02 00:00:00","Bottom-Upstream","SGUR00480_A_Up_07.02.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{69EAD752-9FE8-4BC3-88BE-B6AFF43623D6}"
77,"SMC00480","2018-07-02 00:00:00","Middle-Upstream","SGUR00480_B_Up_07.02.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{3495A5DC-BF7C-41D7-AD31-A52657A638BF}"
78,"SMC00480","2018-07-02 00:00:00","Middle-Downstream","SGUR00480_B_Down_07.02.22018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{900F1130-F78B-42FE-8AA8-AE3FDDD01512}"
79,"SMC00480","2018-07-02 00:00:00","Top-Downstream","SGUR00480_C_Down_07.02.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{65BAED25-367F-4BE3-B0A1-09074741C6D6}"
80,"405CE0280","2018-07-02 00:00:00","Bottom-Upstream","SGUR0280_A_Up_07.02.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{50D60647-62F8-46AB-A1F3-EA7EC4FE9029}"
81,"405CE0280","2018-07-02 00:00:00","Middle-Upstream","SGUR0280_B_Up_07.02.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{B87E4EEE-FD49-41AD-A9DA-B4311C7A086B}"
82,"405CE0280","2018-07-02 00:00:00","Middle-Downstream","SGUR0280_B_Down_07.02.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{510EB1B2-06F7-4EA6-AB48-25AF46B4D8FE}"
83,"SMC02976","2018-07-09 00:00:00","Bottom-Upstream","SGUR02976_A_Up_07.09.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{3226ED30-6EBF-4C58-9991-88B50B8F205B}"
84,"SMC02976","2018-07-09 00:00:00","Middle-Upstream","SGUR02976_B_Up_07.09.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{9CD10EA2-C86B-49B3-B36D-62F9223AF754}"
85,"SMC02976","2018-07-09 00:00:00","Middle-Downstream","SGUR02976_B_Down_07.09.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{5FE483CD-A460-453E-B0AD-F2FA3C1256D8}"
86,"SMC02976","2018-07-09 00:00:00","Top-Downstream","SGUR02976_C_Down_07.09.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{E2647BAB-CEC3-4F82-B0C1-7B52FB73A55A}"
87,"SMC16832","2018-07-10 00:00:00","Bottom-Upstream","SMGR16832_A_Up_07.10.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{582928FB-884D-4978-B92B-73363CC80F1F}"
88,"SMC16832","2018-07-10 00:00:00","Middle-Upstream","SGMR16832_B_Up_07.10.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{2C89CAFA-4C29-4D7C-A9F7-CDE46A733FC1}"
89,"SMC16832","2018-07-10 00:00:00","Middle-Downstream","SGMR16832_B_Down_07.10.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{9B67BC24-B3F4-4BAC-A00E-E25BD6F07A02}"
90,"SMC09534","2018-07-10 00:00:00","Bottom-Upstream","SGMR09534_A_Up_07.10.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{7944FCC5-6D79-4257-B110-3BDA827A9B1E}"
91,"SMC09534","2018-07-10 00:00:00","Middle-Upstream","SGMR09534_B_Up_07.10.2018.JPG","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{E0584193-4DDC-406C-AA22-C7C01241C28B}"
