stationid,stratum,latitude,longitude,trawlnumber,type,biospecies,biomass
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Raja inornata,0.6
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Citharichthys xanthostigma,0.2
B18-10016,Bays,32.78485,-117.24055,2,Fish,Anchoa delicatissima,less than 0.1
B18-10016,Bays,32.78485,-117.24055,2,Fish,Anisotremus davidsonii,less than 0.1
B18-10016,Bays,32.78485,-117.24055,2,Fish,Atherinops affinis,less than 0.1
B18-10016,Bays,32.78485,-117.24055,2,Fish,Cymatogaster aggregata,less than 0.1
B18-10016,Bays,32.78485,-117.24055,2,Fish,Hippocampus ingens,less than 0.1
B18-10016,Bays,32.78485,-117.24055,2,Fish,Paralabrax clathratus,0.2
B18-10016,Bays,32.78485,-117.24055,2,Fish,Paralabrax maculatofasciatus,0.8
B18-10016,Bays,32.78485,-117.24055,2,Fish,Paralichthys californicus,0.2
B18-10016,Bays,32.78485,-117.24055,2,Fish,Umbrina roncador,0.5
B18-10016,Bays,32.78485,-117.24055,2,Fish,Urobatis halleri,1
B18-10016,Bays,32.78485,-117.24055,1,Fish,Paralichthys californicus,0.1
B18-10016,Bays,32.78485,-117.24055,1,Fish,Cymatogaster aggregata,0.2
B18-10016,Bays,32.78485,-117.24055,1,Fish,Paralabrax maculatofasciatus,1.3
B18-10016,Bays,32.78485,-117.24055,1,Fish,Paralabrax clathratus,0.2
B18-10017,Bays,32.78401,-117.2155,1,Fish,Atherinops affinis,less than 0.1
B18-10017,Bays,32.78401,-117.2155,1,Fish,Haemulon californiensis,less than 0.1
B18-10017,Bays,32.78401,-117.2155,1,Fish,Anchoa delicatissima,0.3
B18-10019,Bays,32.76793,-117.24142,1,Fish,Halichoeres semicinctus,0.6
B18-10019,Bays,32.76793,-117.24142,1,Fish,Urobatis halleri,0.4
B18-10019,Bays,32.76793,-117.24142,1,Fish,Paralabrax nebulifer,0.2
B18-10019,Bays,32.76793,-117.24142,1,Fish,Hippocampus ingens,less than 0.1
B18-10019,Bays,32.76793,-117.24142,1,Fish,Heterodontus francisci,less than 0.1
B18-10019,Bays,32.76793,-117.24142,1,Fish,Paralabrax maculatofasciatus,3.1
B18-10019,Bays,32.76793,-117.24142,1,Fish,Syngnathus sp,less than 0.1
B18-10019,Bays,32.76793,-117.24142,1,Fish,Pleuronichthys ritteri,less than 0.1
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Urobatis halleri,6.4
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Engraulis mordax,0.7
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Porichthys myriaster,less than 0.1
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Anchoa delicatissima,0.1
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Engraulis mordax,Aliquot 6.4
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Paralichthys californicus,1.5
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Paralabrax maculatofasciatus,1.3
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Seriphus politus,4.6
B18-10022,Bays,32.72435424,-117.1829514,1,Fish,Synodus lucioceps,less than 0.1
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Symphurus atricaudus,less than 0.1
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Paralichthys californicus,1.6
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Scorpaena guttata,0.1
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Synodus lucioceps,0.2
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Urobatis halleri,1.1
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Pleuronichthys ritteri,less than 0.1
B18-10023,Bays,32.71750433,-117.2155607,1,Fish,Paralabrax maculatofasciatus,4.8
B18-10024,Bays,32.7148,-117.18302,1,Fish,Paralabrax nebulifer,0.1
B18-10024,Bays,32.7148,-117.18302,1,Fish,Anchoa delicatissima,less than 0.1
B18-10024,Bays,32.7148,-117.18302,1,Fish,Paralabrax maculatofasciatus,4.1
B18-10024,Bays,32.7148,-117.18302,1,Fish,Urobatis halleri,0.8
B18-10024,Bays,32.7148,-117.18302,1,Fish,Synodus lucioceps,0.1
B18-10024,Bays,32.7148,-117.18302,1,Fish,Symphurus atricaudus,less than 0.1
B18-10024,Bays,32.7148,-117.18302,1,Fish,Porichthys myriaster,0.7
B18-10024,Bays,32.7148,-117.18302,1,Fish,Paralichthys californicus,less than 0.1
B18-10030,Bays,32.68800855,-117.2299528,2,Fish,Cheilotrema saturnum,0.2
B18-10030,Bays,32.68800855,-117.2299528,2,Fish,Pleuronichthys ritteri,less than 0.1
B18-10030,Bays,32.68800855,-117.2299528,2,Fish,Scorpaena guttata,1.6
B18-10030,Bays,32.68800855,-117.2299528,2,Fish,Paralabrax nebulifer,1
B18-10030,Bays,32.68800855,-117.2299528,2,Fish,Synodus lucioceps,0.1
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Anchoa compressa,less than 0.1
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Cheilotrema saturnum,0.2
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Paralabrax nebulifer,0.2
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Paralichthys californicus,0.2
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Paralabrax maculatofasciatus,1.8
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Myliobatis californica,11.2
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Porichthys myriaster,less than 0.1
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Urobatis halleri,10.2
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Umbrina roncador,less than 0.1
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Anchoa delicatissima,0.3
B18-10034,Bays,32.66518062,-117.1499572,1,Fish,Pleuronichthys ritteri,0.1
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Porichthys myriaster,less than 0.1
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Paralabrax nebulifer,0.2
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Paralabrax maculatofasciatus,0.2
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Umbrina roncador,0.3
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Cheilotrema saturnum,0.1
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Anchoa delicatissima,less than 0.1
B18-10036,Bays,32.65847001,-117.1447356,1,Fish,Urobatis halleri,0.8
B18-10037,Bays,32.64755,-117.11819,1,Fish,Paralichthys californicus,less than 0.1
B18-10037,Bays,32.64755,-117.11819,1,Fish,Anchoa delicatissima,Aliquot 2.9
B18-10037,Bays,32.64755,-117.11819,1,Fish,Urobatis halleri,less than 0.1
B18-10037,Bays,32.64755,-117.11819,1,Fish,Paralabrax maculatofasciatus,0.3
B18-10037,Bays,32.64755,-117.11819,1,Fish,Paralabrax nebulifer,less than 0.1
B18-10037,Bays,32.64755,-117.11819,1,Fish,Hippocampus ingens,less than 0.1
B18-10037,Bays,32.64755,-117.11819,1,Fish,Anchoa delicatissima,0.3
B18-10038,Bays,32.64283,-117.12626,1,Fish,Paralichthys californicus,less than 0.1
B18-10038,Bays,32.64283,-117.12626,1,Fish,Paralabrax maculatofasciatus,1.1
B18-10038,Bays,32.64283,-117.12626,1,Fish,Anchoa delicatissima,less than 0.1
B18-10038,Bays,32.64283,-117.12626,1,Fish,Cheilotrema saturnum,0.3
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Paralabrax maculatofasciatus,less than 0.1
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Cheilotrema saturnum,0.2
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Anchoa delicatissima,0.1
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Paralichthys californicus,less than 0.1
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Urobatis halleri,1
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Anchoa delicatissima,Aliquot 0.1
B18-10039,Bays,32.64157944,-117.139037,1,Fish,Paralabrax nebulifer,less than 0.1
B18-10042,Bays,32.62567,-117.11086,1,Fish,Urobatis halleri,1.5
B18-10042,Bays,32.62567,-117.11086,1,Fish,Paralabrax maculatofasciatus,1.8
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Paralabrax maculatofasciatus,0.7
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Paralabrax nebulifer,0.4
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Engraulis mordax,0.3
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Cymatogaster aggregata,0.4
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Seriphus politus,less than 0.1
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Roncador stearnsii,0.3
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Symphurus atricaudus,less than 0.1
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Citharichthys sordidus,less than 0.1
B18-10068,Marinas,33.45762911,-117.6913958,2,Fish,Phanerodon furcatus,0.2
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Seriphus politus,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Anchoa delicatissima,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Engraulis mordax,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Roncador stearnsii,5.7
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Anchoa compressa,0.7
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Embiotoca jacksoni,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Pleuronichthys guttulatus,0.2
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Paralichthys californicus,0.2
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Heterostichus rostratus,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Symphurus atricaudus,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Sebastes carnatus,0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Phanerodon furcatus,0.5
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Umbrina roncador,less than 0.1
B18-10071,Marinas,33.20810109,-117.3969019,1,Fish,Cymatogaster aggregata,less than 0.1
B18-10204,Inner Shelf,34.42631,-119.91756,NA,Fish,NA,NA
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Parophrys vetulus,0.2
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Citharichthys stigmaeus,1.9
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Xystreurys liolepis,0.4
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Citharichthys xanthostigma,0.3
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Syngnathus exilis,less than 0.1
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Pleuronichthys verticalis,0.2
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Pleuronichthys decurrens,0.3
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Heterostichus rostratus,less than 0.1
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Odontopyxis trispinosa,less than 0.1
B18-10205,Inner Shelf,34.40361,-119.81217,1,Fish,Paralichthys californicus,1.6
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Porichthys notatus,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Citharichthys xanthostigma,0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Symphurus atricaudus,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Lepidogobius lepidus,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Citharichthys stigmaeus,0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Citharichthys sordidus,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Porichthys myriaster,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Raja inornata,0.3
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Icelinus quadriseriatus,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Xystreurys liolepis,less than 0.1
B18-10207,Inner Shelf,34.3960926,-119.6623071,1,Fish,Pleuronichthys verticalis,less than 0.1
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Pleuronichthys verticalis,0.1
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Synodus lucioceps,0.1
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Genyonemus lineatus,0.5
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Xystreurys liolepis,0.5
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Citharichthys stigmaeus,0.2
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Parophrys vetulus,0.1
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Syngnathus exilis,less than 0.1
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Pleuronichthys decurrens,0.1
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Porichthys myriaster,0.2
B18-10208,Inner Shelf,34.33409,-119.43464,1,Fish,Symphurus atricaudus,0.2
B18-10210,Inner Shelf,34.24353,-119.38537,1,Fish,Symphurus atricaudus,less than 0.1
B18-10210,Inner Shelf,34.24353,-119.38537,1,Fish,Citharichthys xanthostigma,0.3
B18-10210,Inner Shelf,34.24353,-119.38537,1,Fish,Raja inornata,0.1
B18-10210,Inner Shelf,34.24353,-119.38537,1,Fish,Pleuronichthys verticalis,0.5
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Citharichthys xanthostigma,0.1
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Xystreurys liolepis,0.4
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Synodus lucioceps,less than 0.1
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Pleuronichthys verticalis,0.3
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Parophrys vetulus,0.8
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Symphurus atricaudus,0.3
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Porichthys myriaster,0.2
B18-10211,Inner Shelf,34.22829,-119.35223,1,Fish,Citharichthys stigmaeus,0.6
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Xystreurys liolepis,0.2
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Parophrys vetulus,0.5
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Citharichthys stigmaeus,1.1
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Pleuronichthys verticalis,0.2
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Citharichthys xanthostigma,0.1
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Symphurus atricaudus,less than 0.1
B18-10212,Inner Shelf,34.19941,-119.29601,1,Fish,Syngnathus exilis,0.1
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Citharichthys sordidus,0.1
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Symphurus atricaudus,0.6
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Xystreurys liolepis,0.1
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Pleuronichthys verticalis,0.6
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Porichthys notatus,less than 0.1
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Citharichthys xanthostigma,0.2
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Icelinus quadriseriatus,less than 0.1
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Syngnathus auliscus,less than 0.1
B18-10213,Inner Shelf,34.17862,-119.34675,1,Fish,Raja inornata,0.1
B18-10214,Inner Shelf,34.12478,-119.19244,1,Fish,Pleuronichthys decurrens,0.3
B18-10214,Inner Shelf,34.12478,-119.19244,1,Fish,Symphurus atricaudus,less than 0.1
B18-10214,Inner Shelf,34.12478,-119.19244,1,Fish,Citharichthys stigmaeus,1.3
B18-10214,Inner Shelf,34.12478,-119.19244,1,Fish,Heterostichus rostratus,less than 0.1
B18-10214,Inner Shelf,34.12478,-119.19244,1,Fish,Pleuronichthys verticalis,0.2
B18-10214,Inner Shelf,34.12478,-119.19244,1,Fish,Pleuronichthys guttulatus,0.3
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Synodus lucioceps,less than 0.1
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Citharichthys stigmaeus,2
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Symphurus atricaudus,less than 0.1
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Xystreurys liolepis,less than 0.1
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Citharichthys sordidus,less than 0.1
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Leptocottus armatus,less than 0.1
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Pleuronichthys verticalis,0.2
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Pleuronichthys decurrens,less than 0.1
B18-10215,Inner Shelf,34.10112,-119.1507,1,Fish,Syngnathus exilis,less than 0.1
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Citharichthys stigmaeus,0.6
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Citharichthys sordidus,0.5
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Icelinus quadriseriatus,less than 0.1
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Synodus lucioceps,0.3
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Pleuronichthys verticalis,0.3
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Citharichthys xanthostigma,0.1
B18-10218,Inner Shelf,34.02313333,-118.5934167,1,Fish,Zaniolepis latipinnis,0.1
B18-10219,Inner Shelf,33.96228333,-118.4767333,1,Fish,Citharichthys stigmaeus,0.3
B18-10219,Inner Shelf,33.96228333,-118.4767333,1,Fish,Synodus lucioceps,0.1
B18-10219,Inner Shelf,33.96228333,-118.4767333,1,Fish,Pleuronichthys verticalis,less than 0.1
B18-10219,Inner Shelf,33.96228333,-118.4767333,1,Fish,Symphurus atricaudus,less than 0.1
B18-10219,Inner Shelf,33.96228333,-118.4767333,1,Fish,Paralichthys californicus,0.5
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Paralichthys californicus,1
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Myliobatis californica,2.3
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Xystreurys liolepis,0.1
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Synodus lucioceps,less than 0.1
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Seriphus politus,less than 0.1
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Pleuronichthys ritteri,0.8
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Symphurus atricaudus,less than 0.1
B18-10220,Inner Shelf,33.73345184,-118.1221237,1,Fish,Paralabrax nebulifer,0.1
B18-10221,Inner Shelf,34.07996,-119.0598,1,Fish,Citharichthys stigmaeus,0.4
B18-10221,Inner Shelf,34.07996,-119.0598,1,Fish,Platyrhinoidis triseriata,0.2
B18-10221,Inner Shelf,34.07996,-119.0598,1,Fish,Leptocottus armatus,less than 0.1
B18-10221,Inner Shelf,34.07996,-119.0598,1,Fish,Porichthys myriaster,less than 0.1
