objectid,stationid,sampledate,trawlnumber,debristype,debriscount,comments
2314,B18-10007,7/19/2018 0:00,1,Bag,1,1 broken down piece of a grocery bag
2315,B18-10007,7/19/2018 0:00,1,Tire,1,"16"" car tire from a tug boat"
2316,B18-10008,7/17/2018 0:00,1,Kelp Stipe/Blade,1,Single strand of Egregia
2317,B18-10008,7/17/2018 0:00,1,Foliose Algae - not kelp,1,Degraded green algae
2318,B18-10008,7/17/2018 0:00,1,Food Bag/Wrapper,1,1980 Ruffles Cheddar & Sour Cream potato chip bag - 1.125 oz 
2319,B18-10008,7/17/2018 0:00,1,Drink Can,1,Old Budweiser shredded can
2320,B18-10011,8/1/2018 0:00,1,Kelp Stipe/Blade,1,Macrocystis blade
2321,B18-10012,7/17/2018 0:00,1,Bag,1,1 dog poop bag
2322,B18-10012,7/17/2018 0:00,1,Fishing Line/Net,2,2 pieces of fishing line
2323,B18-10012,7/17/2018 0:00,1,Foliose Algae - not kelp,-88,Red and green algae
2324,B18-10012,7/17/2018 0:00,1,Kelp Stipe/Blade,-88,Macrocystis  
2325,B18-10012,7/17/2018 0:00,1,Seagrass,2,2 strands
2326,B18-10218,9/5/2018 0:00,1,Kelp Stipe/Blade,9,"7 blades & stipes of Macrocystis, 1 strand of Egregia, 1 blade of Laminaria"
2327,B18-10218,9/5/2018 0:00,1,Foliose Algae - not kelp,1,Rhodomenia
2328,B18-10218,9/5/2018 0:00,1,Seagrass,4,4 strands
2329,B18-10218,9/5/2018 0:00,1,Other Marine (comment req.),-88,"Thalamoporella californica (Bryozoan), large quantities to explain presence of nudibranchs"
2330,B18-10219,9/4/2018 0:00,1,Foliose Algae - not kelp,4,"1 Sargassum, 2 Chondracanthus, 1 Plocamium"
2331,B18-10219,9/4/2018 0:00,1,Kelp Stipe/Blade,4,"1 stipe, 3 blades of Macrocystis"
2332,B18-10219,9/4/2018 0:00,1,Stick/Branch/Driftwood,1,1 stick
2333,B18-10250,8/21/2018 0:00,2,Other Plastic (comment req.),1,Anthropogenic house sponge
2334,B18-10250,8/21/2018 0:00,2,Kelp Stipe/Blade,-88,Egregia strands
2335,B18-10253,9/4/2018 0:00,1,Polypropylene Rope,1,1 small piece
2336,B18-10253,9/4/2018 0:00,1,Seagrass,5,5 strands
2337,B18-10254,9/4/2018 0:00,1,Kelp Stipe/Blade,2,1 blade and 1 stipe of Macrocystis
2338,B18-10254,9/4/2018 0:00,1,Seagrass,3,3 strands
2339,B18-10255,9/18/2018 0:00,1,Kelp Stipe/Blade,2,"1 Macrocystis stipe, 1 very large strand of Egregia (6ft long with 10 branches)"
2340,B18-10303,8/21/2018 0:00,1,Food Bag/Wrapper,3,3 pieces of cheetos bag(s?)
2341,B18-10303,8/21/2018 0:00,1,Polypropylene Rope,1,1 thick piece
2342,B18-10303,8/21/2018 0:00,1,Kelp Stipe/Blade,6,6 blades of Macrocystis
2343,B18-10303,8/21/2018 0:00,1,Seagrass,2,2 strands
2344,B18-10303,8/21/2018 0:00,1,Leaves/Seed Pod,1,1 leaf
2345,B18-10303,8/21/2018 0:00,1,Stick/Branch/Driftwood,1,1 stick
2346,B18-10304,9/11/2018 0:00,1,Seagrass,2,2 strands
2347,B18-10308,9/18/2018 0:00,1,None,0,No problems with trawl
2348,B18-10309,8/28/2018 0:00,1,None,0,No problems with trawl
2349,B18-10311,8/28/2018 0:00,1,Kelp Stipe/Blade,5,3 blades and 2 stipes of Macrocystis
2350,B18-10341,8/29/2018 0:00,2,None,0,No problems with trawl
2351,B18-10411,7/30/2018 0:00,1,Kelp Stipe/Blade,1,1 Egregia strand
2352,B18-10417,7/30/2018 0:00,1,Kelp Stipe/Blade,1,1 blade of Macrocystis
2353,B18-10905,9/5/2018 0:00,1,Kelp Stipe/Blade,9,"5 blades of Macrocystis, 4 blades of Laminariales"
2354,B18-10905,9/5/2018 0:00,1,Seagrass,4,4 strands
2355,B18-10911,8/28/2018 0:00,1,Kelp Stipe/Blade,4,4 beat up blades of Macrocystis
2356,B18-10911,8/28/2018 0:00,1,Other Marine (comment req.),-88,large worm tubes and large shell hash
2357,B18-10968,9/5/2018 0:00,1,Kelp Stipe/Blade,1,1 blade of Macrocystis
2358,B18-10968,9/5/2018 0:00,1,Seagrass,5,5 strands
2359,B18-10968,9/5/2018 0:00,1,Stick/Branch/Driftwood,1,1 stick
2360,B18-10207,8/8/2018 0:00,1,Beer Bottle,1,
2361,B18-10207,8/8/2018 0:00,1,Kelp Stipe/Blade,10,
2362,B18-10211,8/27/2018 0:00,1,Foliose Algae - not kelp,5,
2363,B18-10211,8/27/2018 0:00,1,Stick/Branch/Driftwood,1,
2364,B18-10212,8/27/2018 0:00,1,Foliose Algae - not kelp,8,
2365,B18-10215,8/27/2018 0:00,1,Foliose Algae - not kelp,-88,
2366,B18-10215,8/27/2018 0:00,1,Kelp Stipe/Blade,5,
2367,B18-10215,8/27/2018 0:00,1,Seagrass,5,
2368,B18-10221,8/27/2018 0:00,1,Plastic Piece (unid.),1,
2369,B18-10221,8/27/2018 0:00,1,Kelp Holdfast,1,
2370,B18-10221,8/27/2018 0:00,1,Kelp Stipe/Blade,-88,
2371,B18-10221,8/27/2018 0:00,1,Stick/Branch/Driftwood,4,
2372,B18-10214,8/27/2018 0:00,1,Foliose Algae - not kelp,2,
2373,B18-10214,8/27/2018 0:00,1,Other Foliose Algae,-88,
2374,B18-10251,8/28/2018 0:00,3,Seagrass,1,
2375,B18-10213,9/3/2018 0:00,1,None,0,No debris present in sample
2376,B18-10249,9/3/2018 0:00,1,None,0,No debris present in sample
2377,B18-10210,9/3/2018 0:00,1,None,0,No debris present in sample
2378,B18-10300,9/4/2018 0:00,6,None,0,No debris present in sample
2379,B18-10848,9/5/2018 0:00,1,Stick/Branch/Driftwood,1,
2380,B18-10299,9/5/2018 0:00,3,None,0,No debris present in sample
2381,B18-10295,9/5/2018 0:00,2,None,0,No debris present in sample
2382,B18-10953,9/7/2018 0:00,1,None,0,No debris present in sample
2383,B18-10205,9/11/2018 0:00,1,Foliose Algae - not kelp,-88,
2384,B18-10205,9/11/2018 0:00,1,Kelp Stipe/Blade,-88,
2385,B18-10205,9/11/2018 0:00,1,Other Marine (comment req.),-88,Bryozoan
2386,B18-10243,9/11/2018 0:00,1,Kelp Stipe/Blade,-88,
2387,B18-10243,9/11/2018 0:00,1,Fishing Gear,1,
2388,B18-10244,9/11/2018 0:00,1,None,0,No debris present in sample
2389,B18-10245,9/11/2018 0:00,1,None,0,No debris present in sample
2390,B18-10842,9/14/2018 0:00,1,Kelp Stipe/Blade,1,
2391,B18-10842,9/14/2018 0:00,1,Other Foliose Algae,1,
2392,B18-10208,9/14/2018 0:00,1,Kelp Stipe/Blade,1,
2393,B18-10248,9/14/2018 0:00,2,None,0,No debris present in sample
2394,B18-10247,9/14/2018 0:00,1,Foliose Algae - not kelp,-88,
2395,B18-10246,9/14/2018 0:00,1,Kelp Stipe/Blade,-88,
2396,B18-10224,8/16/2018 0:00,1,Kelp Stipe/Blade,-88,"Macrocystis, Egregia, Laminaria, reds"
2397,B18-10224,8/16/2018 0:00,1,Seagrass,1,
2398,B18-10283,7/18/2018 0:00,1,Food Bag/Wrapper,1,
2399,B18-10283,7/18/2018 0:00,1,Kelp Stipe/Blade,1,Macrocystis
2400,B18-10283,7/18/2018 0:00,1,Seagrass,2,
2401,B18-10284,7/18/2018 0:00,1,Kelp Stipe/Blade,6,Macrocystis
2402,B18-10284,7/18/2018 0:00,1,Seagrass,5,
2403,B18-10286,7/17/2018 0:00,1,Kelp Holdfast,1,
2404,B18-10286,7/17/2018 0:00,1,Kelp Stipe/Blade,1,
2405,B18-10286,7/17/2018 0:00,1,Other Plastic (comment req.),1,zip tie
2406,B18-10286,7/17/2018 0:00,1,Plastic Piece (unid.),1,
2407,B18-10290,7/19/2018 0:00,1,Kelp Stipe/Blade,3,
2408,B18-10290,7/19/2018 0:00,1,Leaves/Seed Pod,1,
2409,B18-10291,7/19/2018 0:00,1,Kelp Stipe/Blade,2,Macrocystis
2410,B18-10291,7/19/2018 0:00,1,Seagrass,5,
2411,B18-10292,7/19/2018 0:00,1,None,0,No debris present
2412,B18-10294,7/20/2018 0:00,1,Kelp Stipe/Blade,1,Macrocystis
2413,B18-10294,7/20/2018 0:00,1,Other Plastic (comment req.),1,plastic sheet
2414,B18-10294,7/20/2018 0:00,1,Rock,3,
2415,B18-10296,7/20/2018 0:00,1,Kelp Stipe/Blade,1,
2416,B18-10296,7/20/2018 0:00,1,Stick/Branch/Driftwood,2,
2417,B18-10297,7/20/2018 0:00,1,Fishing Gear,1,hook
2418,B18-10297,7/20/2018 0:00,1,Fishing Line/Net,1,monofilament
2419,B18-10297,7/20/2018 0:00,1,Kelp Stipe/Blade,6,
2420,B18-10297,7/20/2018 0:00,1,Rock,3,
2421,B18-10297,7/20/2018 0:00,1,Seagrass,5,
2422,B18-10297,7/20/2018 0:00,1,Stick/Branch/Driftwood,3,stick
2423,B18-10307,8/17/2018 0:00,1,Kelp Stipe/Blade,1,Cystoseira
2424,B18-10310,8/16/2018 0:00,1,Kelp Stipe/Blade,1,Macrocystis
2425,B18-10310,8/16/2018 0:00,1,Rock,2,
2426,B18-10325,7/18/2018 0:00,1,Food Bag/Wrapper,1,
2427,B18-10325,7/18/2018 0:00,1,Stick/Branch/Driftwood,1,
2428,B18-10328,7/18/2018 0:00,1,Kelp Stipe/Blade,1,
2429,B18-10328,7/18/2018 0:00,1,Other Misc. (comment req.),1,String
2430,B18-10328,7/18/2018 0:00,1,Seagrass,3,
2431,B18-10332,7/18/2018 0:00,1,Other Marine (comment req.),10,Tar balls
2432,B18-10332,7/18/2018 0:00,1,Seagrass,-88,
2433,B18-10332,7/18/2018 0:00,1,Stick/Branch/Driftwood,1,
2434,B18-10333,7/18/2018 0:00,1,Kelp Holdfast,1,
2435,B18-10333,7/18/2018 0:00,1,Kelp Stipe/Blade,3,
2436,B18-10333,7/18/2018 0:00,1,Stick/Branch/Driftwood,2,
2437,B18-10338,7/19/2018 0:00,1,Cap/Lid,1,
2438,B18-10338,7/19/2018 0:00,1,Clothing,1,shirt sleeve
2439,B18-10338,7/19/2018 0:00,1,Kelp Holdfast,1,Macrocystis
2440,B18-10338,7/19/2018 0:00,1,Other Plastic (comment req.),1,plastic label
2441,B18-10338,7/19/2018 0:00,1,Plastic Piece (unid.),1,
2442,B18-10338,7/19/2018 0:00,1,Rag/Cloth,1,
2443,B18-10339,7/16/2018 0:00,1,Rock,1,
2444,B18-10339,7/16/2018 0:00,1,Stick/Branch/Driftwood,1,
2445,B18-10340,7/16/2018 0:00,1,None,0,No debris present
2446,B18-10342,9/4/2018 0:00,3,Gorgonian Sea Fan (dead),1,
2447,B18-10342,9/4/2018 0:00,3,Seagrass,1,
2448,B18-10343,8/16/2018 0:00,1,Kelp Holdfast,1,Macrocystis
2449,B18-10343,8/16/2018 0:00,1,Other Misc. (comment req.),1,rope
2450,B18-10343,8/16/2018 0:00,1,Rock,9,
2451,B18-10949,7/19/2018 0:00,1,Food Bag/Wrapper,2,"potato bag, clear wrapper"
2452,B18-10949,7/19/2018 0:00,1,Leaves/Seed Pod,3,
2453,B18-10949,7/19/2018 0:00,1,Other Plastic (comment req.),1,hagfish trap bucket
2454,B18-10949,7/19/2018 0:00,1,Seagrass,1,
2455,B18-11000,7/17/2018 0:00,1,Food Bag/Wrapper,1,
2456,B18-11000,7/17/2018 0:00,1,Kelp Holdfast,1,Macrocystis
2457,B18-11000,7/17/2018 0:00,1,Kelp Stipe/Blade,3,Macrocystis
2458,B18-11000,7/17/2018 0:00,1,Seagrass,2,
2459,B18-11000,7/17/2018 0:00,1,Stick/Branch/Driftwood,1,
2460,B18-10321,7/31/2018 0:00,1,None,0,None
2461,B18-10322,8/1/2018 0:00,1,Foliose Algae - not kelp,3,
2462,B18-10242,8/2/2018 0:00,1,Kelp Stipe/Blade,3,Partial blades
2463,B18-10241,8/2/2018 0:00,1,None,0,None
2464,B18-10279,8/2/2018 0:00,2,None,0,"abundance of red crab, abandoned station"
2465,B18-10838,8/28/2018 0:00,2,Kelp Stipe/Blade,0,blade
2466,B18-10334,9/25/2018 0:00,1,Kelp Stipe/Blade,-99,Low estimated weight
2467,B18-10334,9/25/2018 0:00,1,Seagrass,-99,Low estimated weight; Eelgrass blades probably greater than 10 count
2468,B18-10327,9/25/2018 0:00,2,Kelp Stipe/Blade,-99,Low estimated weight
2469,B18-10327,9/25/2018 0:00,2,Seagrass,-99,Low estimated weight; Eelgrass blades probably greater than 10 count
2470,B18-10327,9/25/2018 0:00,2,Other Terrestrial (comment req.),1,About a 5 cm section from a Coreopsis gigantea stem decomposing (island debris); Low estimated weight
2471,B18-10228,8/14/2018 0:00,2,None,0,No debris present
2472,B18-10260,8/14/2018 0:00,1,None,0,No debris present
2473,B18-10227,8/14/2018 0:00,1,None,0,No debris present
2474,B18-10225,8/15/2018 0:00,1,Kelp Holdfast,1,
2475,B18-10225,8/15/2018 0:00,1,Kelp Stipe/Blade,3,
2476,B18-10867,8/15/2018 0:00,1,None,0,No debris present
2477,B18-10313,8/15/2018 0:00,1,None,0,No debris present
2478,B18-10258,8/16/2018 0:00,1,Kelp Stipe/Blade,4,
2479,B18-10258,8/16/2018 0:00,1,Other Misc. (comment req.),1,Rope (1 feet) - Photo w/one cotton glove
2480,B18-10914,8/16/2018 0:00,1,None,0,No debris present
2481,B18-10262,8/16/2018 0:00,1,Kelp Stipe/Blade,2,
2482,B18-10222,8/20/2018 0:00,1,Kelp Stipe/Blade,8,
2483,B18-10220,8/20/2018 0:00,1,None,0,No debris present
2484,B18-10223,8/20/2018 0:00,1,Kelp Stipe/Blade,20,
2485,B18-10913,8/21/2018 0:00,1,Kelp Holdfast,3,
2486,B18-10913,8/21/2018 0:00,1,Kelp Stipe/Blade,24,
2487,B18-10226,8/21/2018 0:00,1,Plastic Piece (unid.),1,
2488,B18-10226,8/21/2018 0:00,1,Kelp Stipe/Blade,4,
2489,B18-10915,8/21/2018 0:00,1,Kelp Stipe/Blade,4,
2490,B18-10314,8/22/2018 0:00,1,Other Plastic (comment req.),2,1 Pipe - 6 inch diameter and 8.5 feet / 1 Broken container 48 x 20 x 18 inches (length x width x height)
2491,B18-10314,8/22/2018 0:00,1,Kelp Stipe/Blade,3,
2492,B18-10973,8/22/2018 0:00,1,None,0,No debris present
2493,B18-10346,9/25/2018 0:00,1,Other Plastic (comment req.),1,Plastic container
2494,B18-10346,9/25/2018 0:00,1,Lumber,2,Wood pieces
2495,B18-10344,9/25/2018 0:00,2,Other Misc. (comment req.),0,No debris present
2496,B18-10345,9/26/2018 0:00,1,None,0,No debris present
2497,B18-10862,9/26/2018 0:00,1,Kelp Holdfast,7,
2498,B18-10862,9/26/2018 0:00,1,Kelp Stipe/Blade,31,
2499,B18-10862,9/26/2018 0:00,1,Other Misc. (comment req.),1,Excess ball fishing line
2500,B18-10068,7/10/2018 0:00,2,Bottle,1,
2501,B18-10068,7/10/2018 0:00,2,Kelp Holdfast,4,
2502,B18-10068,7/10/2018 0:00,2,Foliose Algae - not kelp,6,
2503,B18-10068,7/10/2018 0:00,2,Seagrass,5,
2504,B18-10071,7/11/2018 0:00,1,Foliose Algae - not kelp,-88,
2505,B18-10071,7/11/2018 0:00,1,Kelp Holdfast,3,
2506,B18-10071,7/11/2018 0:00,1,Kelp Stipe/Blade,-88,
2507,B18-10016,7/13/2018 0:00,1,Foliose Algae - not kelp,-88,
2508,B18-10016,7/13/2018 0:00,1,Seagrass,-88,lots of epiphytes
2509,B18-10016,7/13/2018 0:00,2,None,0,no debris present in sample
2510,B18-10017,7/13/2018 0:00,1,Foliose Algae - not kelp,-88,
2511,B18-10017,7/13/2018 0:00,1,Kelp Stipe/Blade,6,
2512,B18-10017,7/13/2018 0:00,1,Seagrass,-88,
2513,B18-10019,7/13/2018 0:00,1,Foliose Algae - not kelp,-88,
2514,B18-10019,7/13/2018 0:00,1,Kelp Stipe/Blade,1,
2515,B18-10019,7/13/2018 0:00,1,Seagrass,-88,
2516,B18-10022,7/23/2018 0:00,1,Kelp Stipe/Blade,2,blade
2517,B18-10022,7/23/2018 0:00,1,Seagrass,2,
2518,B18-10023,7/23/2018 0:00,1,None,0,no debris present in sample
2519,B18-10024,7/23/2018 0:00,1,None,0,no debris present in sample
2520,B18-10030,7/23/2018 0:00,1,Kelp Holdfast,1,
2521,B18-10030,7/23/2018 0:00,1,Kelp Stipe/Blade,-88,
2522,B18-10030,7/23/2018 0:00,1,Foliose Algae - not kelp,1,red algae
2523,B18-10030,7/23/2018 0:00,1,Seagrass,12,
2524,B18-10030,7/23/2018 0:00,1,Other Marine (comment req.),12,empty tubes; some shell hash
2525,B18-10030,7/23/2018 0:00,2,Kelp Stipe/Blade,-88,
2526,B18-10034,7/24/2018 0:00,1,None,0,no debris present in sample
2527,B18-10036,7/24/2018 0:00,1,Foliose Algae - not kelp,-88,red algae
2528,B18-10037,7/24/2018 0:00,1,Foliose Algae - not kelp,-88,red algae
2529,B18-10037,7/24/2018 0:00,1,Seagrass,-88,eelgrass
2530,B18-10039,7/24/2018 0:00,1,Foliose Algae - not kelp,-88,red algae with epiphytic bryozoans
2531,B18-10039,7/24/2018 0:00,1,Seagrass,-88,eelgrass
2532,B18-10039,7/24/2018 0:00,1,Other Marine (comment req.),4,empty Musculista
2533,B18-10038,7/25/2018 0:00,1,Foliose Algae - not kelp,-88,red algae
2534,B18-10038,7/25/2018 0:00,1,Seagrass,-88,
2535,B18-10042,7/25/2018 0:00,1,Foliose Algae - not kelp,-88,
2536,B18-10042,7/25/2018 0:00,1,Seagrass,-88,lots of epiphytes on eelgrass
