"objectid","gdb_geomattr_data","shape","stationid","sampleid","sampledate","samplingorganization","trawlnumber","fishspecies","sizeclass","abundancequalifier","abundance","anomaly","comments","globalid","created_user","created_date","last_edited_user","last_edited_date","diversityindexexclude","stincludedinanalysis"
37385,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Xystreurys liolepis",17,"None",1,"None","","{A644B1CA-C4EC-4660-80B2-E94547966B47}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37386,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Xystreurys liolepis",24,"None",1,"None","","{92D081AA-2C22-4B01-851F-C2CAD6680F88}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37387,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Xystreurys liolepis",26,"None",1,"None","","{74D93335-8B1C-49D1-B2E4-18EA4EAABBCE}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37388,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",9,"None",57,"None","","{F07EE7B6-9CAA-4173-928F-FA45626F1E94}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37389,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",10,"None",104,"None","","{6201914C-4E3C-471D-8FED-0E0ED5C3AA7F}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37390,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",11,"None",12,"None","","{91D418D5-3686-43CA-A99C-7A4516DB45A7}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37391,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",21,"None",1,"None","","{E22EAF72-1BBC-4FF0-8029-6FC545FF995D}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37392,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",22,"None",1,"None","","{13517AED-9621-4529-8342-D8755D94F34D}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37393,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Pleuronichthys verticalis",14,"None",1,"None","","{BBD961BB-72BD-4041-A059-D9ABBCEBFC36}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37394,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Pleuronichthys verticalis",15,"None",2,"None","","{BB5A2F93-CE8B-47C1-983C-DD94163E4F88}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37395,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Pleuronichthys verticalis",16,"None",1,"None","","{47F48E43-2B67-4582-9490-DB8323A90F4A}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37396,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",9,"None",1,"None","","{85487B9A-86CA-4281-AAEA-1CE28C62D61B}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37397,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",10,"None",2,"None","","{7A83D50A-5F59-4C09-A775-744EFABBC894}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37398,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",11,"None",1,"None","","{B6C23DA1-DD1F-4E40-B548-E4F6C95E7A9F}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37399,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",12,"None",6,"None","","{F793E15F-0955-4C03-9175-9752084E1444}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37400,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",13,"None",2,"None","","{31586416-4F2D-44C9-8BDB-A2C36F842277}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37401,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",14,"None",6,"None","","{43113B4B-5E4F-4F4D-80F1-697049CD8697}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37402,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",15,"None",6,"None","","{D4038943-86AA-4A5F-B834-48BB458306A3}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37403,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",16,"None",3,"None","","{5982CF26-0867-4101-87E6-D5C96F194F1A}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37404,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",18,"None",1,"None","","{4D4B7953-ED4B-47DD-9D6E-37DE3D5DE6A3}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37405,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Hippoglossina stomata",12,"None",2,"None","","{6A63BB34-D2D4-43EC-A631-7EAC27CBF7A0}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37406,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Hippoglossina stomata",10,"None",1,"None","","{EB06C248-73F9-47AF-960D-53D3F3BC37AF}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37380,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys sordidus",6,"None",1,"None","","{E80B6BBE-E547-437E-A54A-660C76D85979}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
44406,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",7,"None",3,"None","","{C5DFACE6-5B6F-4B6A-838C-CC2BF7410ACE}","checker","2019-10-29 11:18:33","checker","2019-10-29 11:18:33","No","false"
44407,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",8,"None",2,"None","","{F511039E-32C2-49A8-A49D-DFA97C8B90D6}","checker","2019-10-29 11:18:33","checker","2019-10-29 11:18:33","No","false"
44405,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys xanthostigma",6,"None",7,"None","","{6B75DED7-9E4B-49C2-A1B8-62A822C01C77}","checker","2019-10-29 11:18:33","checker","2019-10-29 11:18:33","No","false"
37089,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax clathratus",11,"None",2,"None","","{BED6B428-B655-4961-BC57-09A7E206EA5B}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37090,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax clathratus",12,"None",1,"None","","{7E9C1EB3-57CF-40B6-815B-D432FF1DEFD5}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37091,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax clathratus",13,"None",1,"None","","{8C27E0ED-6337-450B-9AFA-F4741A731138}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37092,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax clathratus",14,"None",1,"None","","{6708861D-88E0-41B9-A00F-A9B6DFBF4206}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37093,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Hippocampus ingens",23,"None",1,"None","","{68D62572-F020-4764-BAD9-7571FFDB7885}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37094,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax maculatofasciatus",22,"None",1,"None","","{66E9B946-F762-4BD6-A23E-DCC16D459892}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37095,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax maculatofasciatus",24,"None",1,"None","","{ECEBF661-5CF5-4CD4-BB34-D4E01E8E2715}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37096,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax maculatofasciatus",25,"None",1,"None","","{EB1361C8-D3CE-4D6C-A0C3-F313E1E0FDD7}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37097,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralichthys californicus",8,"None",2,"None","","{5ACD7E2F-49B1-432A-8F91-50E38173CF93}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37098,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralichthys californicus",13,"None",1,"None","","{A1A4D202-67C6-4449-A612-20E86CED669A}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37099,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralichthys californicus",14,"None",1,"None","","{189D5FE6-2EAF-4AAF-A299-43F531A997D4}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37100,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralichthys californicus",17,"None",2,"None","","{993C42AD-84E8-4FA3-902B-9136C5C64D63}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37101,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",7,"None",1,"None","","{3391D4FC-40F6-4682-ACC6-2C849AA71DD5}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37102,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Anchoa delicatissima",6,"None",21,"None","","{D188FCA1-B38D-4778-9424-DA79576B4E53}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37103,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Anchoa delicatissima",7,"None",3,"None","","{E92E31AF-5AB4-4901-911F-E99A78BB2374}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37104,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Anisotremus davidsonii",15,"None",1,"None","","{D602344E-5657-49CE-AD94-1D014061E96D}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37105,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Atherinops affinis",7,"None",1,"None","","{E1C71701-B1B1-486C-94EC-C9AAEDFCF843}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37106,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Umbrina roncador",31,"None",1,"None","","{221201B6-2E02-458E-AB63-20842A6666F1}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37107,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Urobatis halleri",29,"None",1,"None","Disc width = 16","{66A22EDD-0F03-49D7-ACB7-D3A5FA27C60C}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37108,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Urobatis halleri",28,"None",1,"None","Disc width = 16","{7C3A2972-C815-45E7-98FE-4DFDEFC96392}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37109,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Urobatis halleri",27,"None",1,"None","Disc width = 15.5","{A1F90B79-A6C1-4D4B-BB74-12C79B8D01C4}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37110,NULL,NULL,"B18-10016","Mission Bay","2018-07-13 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Urobatis halleri",31,"None",1,"None","Disc width = 17","{D3FD6EC3-C7D0-46BF-92F7-B81C705EDDBC}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37021,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax maculatofasciatus",20,"None",2,"None","","{8760CFC0-7E72-4954-AA41-2A82FBAF1A3F}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37022,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Paralabrax maculatofasciatus",25,"None",1,"None","","{A3B3D1F3-4589-41D2-9512-9EDC8F263D5F}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37023,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Symphurus atricaudus",11,"None",1,"None","","{0EFA5F38-7D5B-4796-99DE-B63D928830D6}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37024,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Citharichthys sordidus",10,"None",1,"None","","{90A966A1-4743-416C-BF8F-513A606F475B}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37025,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",5,"None",7,"None","","{D729676E-C246-45FE-97AC-2EADBDBE5623}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37026,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",6,"None",38,"None","","{9D658F09-E41F-4A1E-BFC9-65DA98E3B2C0}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37027,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",7,"None",10,"None","","{20839044-8167-40AF-95AD-6D6BD0CC0836}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37028,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",8,"None",1,"None","","{111B7B6B-38F9-459D-93CC-81858CCBA510}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37029,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",9,"None",1,"None","","{E990C1D9-40D6-47AD-8158-79498ED459A8}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37030,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Cymatogaster aggregata",10,"None",6,"None","","{C4DF49F8-7C1D-44FC-A151-C847602330F0}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37031,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Engraulis mordax",4,"None",72,"None","","{30BA90DC-FBE7-4544-B52A-9D1E7961FCC1}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37032,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Engraulis mordax",5,"None",198,"None","","{79DD1E76-7F6E-4EC6-8E61-F5BE46FEEDFF}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37033,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Engraulis mordax",6,"None",51,"None","","{203FEB4A-DC09-423D-8684-967E61B3F4E0}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37034,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Engraulis mordax",7,"None",10,"None","","{33A6EF94-9CAE-499A-9CD9-2966D49E8614}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37035,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Engraulis mordax",8,"None",2,"None","","{9615C215-7676-4A57-983D-FD88D09936A9}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37036,NULL,NULL,"B18-10068","Dana Point","2018-07-10 00:00:00","AMEC, Foster, & Wheeler / WOOD",2,"Engraulis mordax",9,"None",1,"None","","{D2825C38-57FA-4E6A-848D-59161F85AC33}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37052,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Roncador stearnsii",14,"None",9,"None","","{2D9D5D23-C624-4775-9A7E-69771B795E3F}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37053,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Roncador stearnsii",15,"None",26,"None","","{6DB46483-0EA5-4787-8DB6-16730F43116B}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37054,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Roncador stearnsii",16,"None",12,"None","","{D68ECB4C-6949-44DF-A42D-3DA3016F10B5}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37067,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Cymatogaster aggregata",6,"None",9,"None","","{F2CB8EBE-1653-422F-9C60-DCD11FE780E4}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37068,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",7,"None",1,"None","","{C83763BB-FFF8-4B2C-A253-289B30728DFB}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37069,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",8,"None",3,"None","","{4C1153ED-40EE-4D1D-806C-054150490A86}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37070,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",9,"None",1,"None","","{B287D1D9-2202-4CAE-BC4C-F90E9FE74E8E}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37071,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",15,"None",1,"None","","{6A4EA06E-8EEF-4797-B663-5CFC08DAAE8E}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37072,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",16,"None",1,"None","","{AA2058B8-BE3F-464D-B370-9A13DE290396}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37073,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",18,"None",1,"None","","{F91C7501-F624-4FA2-AC3F-507F9CFA9FF4}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37074,NULL,NULL,"B18-10071","Oceanside","2018-07-11 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Phanerodon furcatus",19,"None",1,"None","","{34B8AAA6-2945-4908-AEBC-9D2F35964BAA}","checker","2019-03-08 12:56:18","checker","2019-03-08 12:56:18","No","false"
37414,NULL,NULL,"T0.5-S","T0.5-S","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Symphurus atricaudus",12,"None",1,"None","","{EB396E83-E4AD-4485-927C-2A701D6460A9}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37415,NULL,NULL,"T0.5-S","T0.5-S","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",9,"None",52,"None","","{D3FC4F80-7B6C-47AD-ACA2-F21B8D2B8811}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37416,NULL,NULL,"T0.5-S","T0.5-S","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Synodus lucioceps",10,"None",75,"None","","{8495C6FF-BE37-4C23-97C5-C0A6FD93A34C}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
