objectid,stationid,sampledate,overlatitude,overlongitude,startlatitude,startlongitude,endlatitude,endlongitude,startdepth_in_meters,enddepth,decklatitude,decklongitude,trawlfail,ptsensor,onbottomtemp,comments,overtime,starttime,endtime,decktime,onbottomtime,trawloverdistance,trawldeckdistance,trawldistance,trawlovertime,trawldecktime,trawltimetobottom,trawltime,trawldistancetonominaltarget,wireout
1906,B18-10279,8/2/2018 0:00,34.41763,-120.22493,34.4181,-120.21668,34.41851,-120.21138,153,148,34.42173,-120.20006,Other trawl failure,Yes,9.8,Red Crab Protocol,9:32:00,9:41:00,9:51:00,10:30:00,6:50:00,758.5653846,1098.341142,488.2932428,9,39,1.37920979,10,13.34325847,550
1907,B18-10322,8/1/2018 0:00,34.34111,-120.38955,34.344,-120.372,34.34406,-120.36525,289,289,34.34103,-120.35483,None,Yes,8.36,,12:49:00,13:10:00,13:20:00,13:53:00,18:00:00,1643.022266,1014.269122,619.7517899,21,33,1.8255803,10,16.72222398,900
1908,B18-10838,8/28/2018 0:00,34.40948,-119.89328,34.411,-119.89506,34.41438,-119.89865,17.4,17.4,34.41545,-119.9003,Other trawl failure,Yes,16.5,T-13; Nothing in net. Repeat to confirm.,15:32:00,15:36:00,15:46:00,15:51:00,12:20:00,235.0124787,192.5230263,499.7109849,4,5,1.56674986,10,65.52782704,150
1909,B18-10838,8/28/2018 0:00,34.40951,-119.89353,34.41181,-119.89583,34.4156,-119.88346,17.5,16.8,34.41623,-119.88581,None,Yes,16,"Nothing in net. No fish present in trawl, 1 invert, and kelp debris. Heading 270.",16:05:00,16:10:00,16:20:00,16:26:00,12:40:00,331.5507467,226.6646792,1210.471862,5,6,2.21033831,10,81.52080928,150
1910,B18-10329,9/25/2018 0:00,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,Other trawl failure,No,-88,Abandoned station due to hard bottom with rocks and gravel,9:04:00,9:04:00,9:04:00,9:04:00,0:00:00,0,0,0,0,0,0,0,13614925.56,-88
1911,B18-10327,9/25/2018 0:00,34.223817,-120.27797,34.25674,-120.2631,34.2644,-120.25478,476,471.2,34.27372,-120.24686,Doors - No contact with bottom,Yes,-88,Net did not get onto bottom,12:18:00,12:43:00,13:01:00,13:35:00,0:00:00,3907.733798,1266.357585,1144.605625,25,34,3.16415692,18,19.25286013,1235
1912,B18-10327,9/25/2018 0:00,34.23089,-120.28521,34.25303,-120.26651,34.26286,-120.25716,476.9,470.1,34.26817,-120.24976,None,Yes,6.9,,14:07:00,14:36:00,15:07:00,15:46:00,0:10:20,3002.57425,900.5903937,1390.377274,29,39,2.1996881,31,23.87107454,1365
1913,B18-10334,9/25/2018 0:00,34.13606,-120.15678,34.14856,-120.12719,34.15033,-120.11153,478.7,485.5,34.14771,-120.10489,None,Yes,6.7,,17:34:00,18:05:00,18:35:00,19:13:00,0:12:10,3057.380193,676.9286849,1454.446816,31,38,2.12318069,30,70.90621968,1440
1914,B18-10336,9/26/2018 0:00,34.15369,-120.21335,34.14585,-120.18625,34.14246,-120.17139,430.4,428.8,34.14353,-120.16452,Improper Bottom Time,Yes,6.95,,7:31:00,8:00:00,8:30:00,9:03:00,0:05:20,2641.777559,643.3389218,1418.537419,29,33,1.97589945,30,3.69212736,1337
1915,B18-10336,9/26/2018 0:00,34.15032,-120.2138,34.14491,-120.18523,34.14246,-120.17192,427.4,428.4,34.14198,-120.166,Other trawl failure,Yes,7,See station occupation comments. Catch too big to bring aboard.,9:58:00,10:25:00,10:56:00,11:32:00,0:15:00,2697.076594,547.4266132,1254.829395,27,36,1.94453972,31,45.955455,1387
1916,B18-10280,9/26/2018 0:00,34.39633,-120.10548,34.39771,-120.09283,34.39876,-120.08333,189.5,172.3,34.39944,-120.07995,Doors - No contact with bottom,Yes,-88,Net did not get onto bottom,14:02:00,14:13:00,14:29:00,14:41:00,0:00:00,1170.758724,319.1979977,879.4133936,11,12,1.67251246,16,50.2072283,700
1917,B18-10280,9/26/2018 0:00,34.39727,-120.10496,34.3969,-120.09469,34.39883,-120.07977,190.4,169.3,34.39984,-120.07722,Doors - No contact with bottom,Yes,-88,Net did not get onto bottom,15:04:00,15:15:00,15:45:00,15:59:00,0:00:00,943.1869974,259.5193508,1385.641406,11,14,1.34741,30,1.34044754,700
1918,B18-10001,7/19/2018 0:00,33.75103333,-118.1468833,33.75213333,-118.1487167,33.75398333,-118.1516667,7,7,33.75445,-118.1522167,None,Yes,20,,12:20:17,12:21:44,12:26:53,12:29:06,0:04:54,209.0229933,72.6512488,341.6141136,2,3,3.31782529,6,8.45042558,63
1919,B18-10000,7/19/2018 0:00,33.75876667,-118.15995,33.75923333,-118.1616667,33.75991667,-118.1650333,5,5,33.76008333,-118.1656667,None,Yes,21,,12:56:04,12:57:12,13:02:19,13:04:24,0:05:04,166.9664145,61.41161828,320.3716082,2,3,3.33932829,6,3.93654449,50
1920,B18-10417,7/30/2018 0:00,33.7305,-118.1527333,33.73111667,-118.1558667,33.73185,-118.15935,13,13,33.73205,-118.1604,None,Yes,18,,9:08:36,9:10:36,9:15:44,9:18:39,0:05:10,297.7614104,99.61260027,332.2821955,2,3,2.89088748,6,39.54725304,103
1921,B18-10002,7/30/2018 0:00,33.74063333,-118.1673167,33.74333333,-118.1682667,33.746,-118.1700833,10.8,10,33.74665,-118.1704667,None,Yes,20,,10:12:58,10:15:04,10:20:11,10:22:47,0:05:06,312.8127288,80.49936694,340.7904942,3,3,3.72396106,6,11.06900003,84
1922,B18-10411,7/30/2018 0:00,33.73416667,-118.2207833,33.73548333,-118.21785,33.73745,-118.2153,12,13,33.73816667,-118.2147333,None,Yes,19,,11:20:36,11:22:55,11:28:05,11:30:45,0:05:02,308.238612,95.37383552,321.5948598,3,3,3.3504197,6,3.42287774,92
1923,B18-10011,8/1/2018 0:00,33.72881667,-118.2226333,33.72623333,-118.2237667,33.72408333,-118.2248333,15,15,33.72355,-118.2260667,None,Yes,18,,9:55:04,9:57:16,10:02:25,10:05:33,0:04:58,305.7781799,128.5589395,258.6217867,3,4,2.70600159,6,34.58684702,113
1924,B18-10241,8/2/2018 0:00,34.43568,-120.24765,34.43586,-120.24305,34.4357,-120.23563,75,76,34.43608,-120.23058,None,Yes,10.46,,7:23:00,7:30:00,7:40:00,7:49:00,9:40:00,422.3368495,465.0543341,680.7146991,7,9,1.20667671,10,21.53335249,350
1925,B18-10331,9/25/2018 0:00,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,Other trawl failure,No,-88,"Abandoned station due to location within the federal boundries of Harris Point Marine Reserve, trawling not allowed",10:35:00,10:35:00,10:35:00,10:35:00,0:00:00,0,0,0,0,0,0,0,13611386.52,-88
1926,B18-10211,8/27/2018 0:00,34.22793,-119.35326,34.2279,-119.35194,34.22713,-119.34795,23.8,23.2,34.22733,-119.34832,None,Yes,14.5,,14:04:00,14:06:00,14:16:00,14:19:00,0:12:00,121.4023147,40.64140078,376.6887993,2,3,-1.37957176,10,79.10224851,-88
1927,B18-10212,8/27/2018 0:00,34.20016,-119.29839,34.19939,-119.29731,34.198,-119.29327,18.1,17.9,34.19842,-119.29365,None,Yes,16.6,,12:35:00,12:37:00,12:47:00,12:52:00,0:11:10,131.1343439,58.33045971,402.4186567,2,5,-1.490163,10,49.33278567,-88
1928,B18-10214,8/27/2018 0:00,34.12598,-119.19556,34.12525,-119.19403,34.1232,-119.18941,14.8,14.6,34.12355,-119.19022,None,Yes,14.9,,7:14:00,7:16:00,7:26:00,7:30:00,0:14:30,162.5518533,84.10694125,482.5095089,2,4,-1.84718015,10,31.43078845,-88
1929,B18-10221,8/27/2018 0:00,34.0805,-119.0618,34.08052,-119.06058,34.08045,-119.0573,17.5,16.3,34.08058,-119.05833,None,Yes,15.6,,9:11:00,9:13:00,9:23:00,9:26:00,0:13:00,112.380699,95.95526245,302.1795307,2,3,-1.2770534,10,45.70685516,-88
1930,B18-10300,9/4/2018 0:00,34.0898,-119.27687,-88,-88,-88,-88,-88,-88,-88,-88,Outside Radius Limit,No,-88,Pulled up trawl before it hit bottom.,11:20:00,0:00:00,0:00:00,11:14:00,0:00:00,13607402.6,0,0,680,674,-154629.575,0,13598748.49,-88
1931,B18-10207,8/8/2018 0:00,34.39643398,-119.6648981,34.39637,-119.66352,34.39667,-119.65974,24.1,25.4,34.39703,-119.65953,None,Yes,14.88,,12:24:00,12:27:00,12:37:00,12:43:00,0:10:45,126.643047,44.42586507,348.4240676,3,6,-1.43912553,10,38.92284261,-88
1932,B18-10215,8/27/2018 0:00,34.10089,-119.15368,34.100094,-119.15208,34.10122,-119.14841,15.1,13.7,34.1018,-119.14943,None,Yes,15.6,,10:36:00,10:37:00,10:47:00,10:50:00,0:13:00,171.8653006,113.9278953,360.3666382,1,3,-1.95301478,10,63.92077365,-88
1933,B18-10251,8/28/2018 0:00,34.01627,-118.91262,34.0155,-118.91016,34.0137,-118.90588,59.6,62.3,34.01437,-118.90685,Outside Radius Limit,Yes,-88,Boat did not go w/in 100 m of nominals,11:56:00,12:00:00,12:10:00,12:16:00,0:00:00,242.3597754,116.3765038,442.3541765,4,6,-2.75408836,10,173.965009,-88
1934,B18-10251,8/28/2018 0:00,34.01628,-118.91428,34.01522,-118.91153,34.0158,-118.90855,62.1,57.8,34.01624,-118.91062,None,Yes,12.1,,12:36:00,12:39:00,12:49:00,12:58:00,0:16:10,279.5265022,196.9599269,282.1306793,3,9,-3.17643752,10,76.74641849,-88
1935,B18-10277,8/1/2018 0:00,32.584,-117.26209,32.58969,-117.26425,32.594,-117.26547,57,58,32.59509,-117.26571,None,Yes,12,,8:25:20,8:33:28,8:43:37,8:47:57,10:30:00,664.2756513,123.2702583,492.6907732,9,5,2.32264214,11,3.65776444,286
1936,B18-10278,8/1/2018 0:00,32.54599,-117.19859,32.55038,-117.19967,32.55511,-117.19815,35,35,32.55533,-117.19699,None,Yes,13,,10:29:30,10:35:03,10:45:15,10:48:28,11:00:00,498.5314191,111.4371378,544.9048431,6,4,2.55657138,11,16.67203881,195
1937,B18-10349,8/7/2018 0:00,33.02667,-117.37585,33.04777,-117.38815,33.05315,-117.38973,371,381,33.06418,-117.39009,Doors - No contact with bottom,Yes,-88,Used recommended trawl wire scope for station depth but net never reached bottom,9:56:06,10:18:45,10:28:58,10:51:13,0:00:00,2611.383396,1226.938823,616.0869155,23,23,2.4705614,11,56.03444833,1057
1938,B18-10231,8/8/2018 0:00,33.30265,-117.51985,33.30581,-117.52302,33.3095,-117.52509,19,18,33.30997,-117.52541,None,Yes,16,,8:40:33,8:44:14,8:54:10,8:56:12,11:10:00,458.5333911,60.12950266,453.1639171,4,3,3.47373781,10,34.30340361,132
1939,B18-10349,8/7/2018 0:00,33.02412,-117.37325,33.04971,-117.38892,33.05471,-117.38999,375,386,33.07333,-117.38728,None,Yes,7.9,Added 300m of trawl wire scope to recommended amount due to failed first attempt net took an additional 5 minutes to reach bottom after winch wire stopped,11:18:29,11:43:39,11:53:58,12:33:33,4:50:00,3198.501997,2085.794268,564.8476074,26,40,2.36926074,11,43.55746101,1350
1940,B18-10237,8/1/2018 0:00,32.65774,-117.16685,32.65963,-117.16827,32.66293,-117.17149,12,11,32.66325,-117.17133,None,Yes,15,,12:31:31,12:34:33,12:44:07,12:46:09,11:00:00,248.6721539,38.60611331,474.8772357,4,3,2.48672154,10,2.92741269,100
1941,B18-10300,9/4/2018 0:00,34.08849,-119.2788,34.08888,-119.27422,34.0896,-119.27025,192,176,34.09177,-119.27307,None,Yes,9.4,,13:49:00,1:58:00,2:08:00,14:35:00,0:19:50,423.9885446,354.4822626,374.2521877,711,747,-4.81805164,10,49.65164525,-88
1942,B18-10300,9/4/2018 0:00,34.08892,-119.2794,34.08894,-119.27374,34.0892,-119.27048,194,181,34.09108,-119.27334,Doors - No contact with bottom,Yes,-88,,12:50:00,12:56:00,13:06:00,13:26:00,0:00:00,521.2236808,336.2488846,301.5957703,6,20,-5.92299637,10,94.28243218,-88
1943,B18-10265,8/8/2018 0:00,33.26346,-117.5569,33.26863,-117.56344,33.27055,-117.56622,80,80,33.27094,-117.56755,None,Yes,12,,11:13:12,11:20:30,11:30:41,11:36:32,9:50:00,836.7836173,131.0325858,335.2305312,8,6,2.6149488,11,14.1677417,320
1944,B18-10267,8/8/2018 0:00,33.21116,-117.47667,33.21658,-117.48075,33.22132,-117.48188,64,59,33.22115,-117.48143,None,Yes,12,,14:37:28,14:44:24,14:54:44,14:59:18,10:00:00,712.2388105,45.92994833,537.4439322,7,5,2.22574628,11,43.77401996,320
1945,B18-10925,8/9/2018 0:00,33.23408,-117.50243,33.24077,-117.50689,33.24584,-117.50867,64,61,33.24721,-117.50814,None,Yes,13,,8:25:18,8:31:52,8:42:11,8:47:11,9:30:00,851.7254321,160.1118067,587.5590614,7,5,2.83908477,11,28.94237928,300
1946,B18-10875,8/9/2018 0:00,33.17199,-117.40035,33.17504,-117.40307,33.17977,-117.40489,24,20,33.18042,-117.40469,None,Yes,13,,10:16:08,10:20:17,10:30:21,10:33:03,12:00:00,423.2103568,74.6349047,552.554369,5,3,2.64506473,11,30.4921603,160
1947,B18-10930,9/5/2018 0:00,32.69497,-117.33473,32.70367,-117.33596,32.70782,-117.33648,103,100,32.7343,-117.35537,None,Yes,11,,8:16:41,8:26:04,8:35:35,9:16:13,8:10:00,974.2183594,3434.030488,464.0167876,10,41,2.37614234,10,19.74751781,410
1948,B18-10989,9/5/2018 0:00,32.72751,-117.35132,32.73898,-117.35886,32.74338,-117.36257,149,141,32.74598,-117.36389,None,Yes,10,,9:37:44,9:54:07,10:04:19,10:14:06,14:00:00,1457.416483,314.3618083,599.8130683,17,10,2.55687102,11,151.769213,570
1949,B18-10350,9/5/2018 0:00,32.68657,-117.34879,32.70257,-117.3537,32.708,-117.35489,224,229,32.71002,-117.35175,None,Yes,9,,11:55:51,12:15:17,12:25:24,12:36:43,9:00:00,1837.490685,369.8125297,613.9689954,20,12,2.48309552,11,43.96813682,740
1950,B18-10351,9/6/2018 0:00,32.66902,-117.41726,32.69165,-117.39576,32.69544,-117.38998,368,370,32.69605,-117.37948,None,Yes,10,,8:48:43,9:28:15,9:38:33,10:00:02,8:00:00,3221.965855,984.8884501,685.6802436,40,22,2.68497155,11,61.47903281,1200
1951,B18-10992,9/7/2018 0:00,32.58752,-117.3403,32.59872,-117.34362,32.60264,-117.34265,172,172,32.59528,-117.3394,None,Yes,10,,8:13:22,8:24:01,8:34:15,8:55:20,9:00:00,1283.634949,873.1900173,445.2544014,11,22,2.07037895,11,9.84157512,620
1952,B18-10879,9/7/2018 0:00,32.66317,-117.19942,32.66434,-117.2015,32.66857,-117.20569,10,9,32.66862,-117.20573,None,Yes,16,,10:18:11,10:20:15,10:30:46,10:32:03,10:30:00,234.1725333,6.70353459,612.4249364,3,2,2.89101893,11,44.68639065,81
1953,B18-10340,7/16/2018 0:00,34.06347,-119.14365,34.04211,-119.12547,34.03756,-119.12543,278,284,34.02958,-119.11541,None,Yes,8.28,,14:18:58,14:42:48,14:52:49,15:20:35,10:00,2906.273366,1280.584084,505.9503382,24,28,2.86332351,11,18.6692366,1015
1954,B18-10339,7/16/2018 0:00,34.02273,-119.17623,34.03941,-119.19697,34.04399,-119.19797,395,395,34.04811,-119.18665,None,Yes,8.06,,17:29:32,17:57:04,18:09:06,18:39:58,13:00,2663.223972,1139.146147,517.5407588,28,31,2.42994888,13,11.07370107,1096
1955,B18-11000,7/17/2018 0:00,34.20442,-119.80033,34.22604,-119.81821,34.23158,-119.81969,380,375,34.243,-119.80474,None,Yes,7.8,Strong winds during the trawl resulted in a faster than normal trawl speed.,16:19:36,16:44:32,16:54:33,17:22:59,10:00,2912.450182,1871.152414,630.8677779,25,29,2.84975556,11,32.00184012,1022
1956,B18-10286,7/17/2018 0:00,34.24089,-119.73119,34.24362,-119.70917,34.24354,-119.70295,174,174,34.24272,-119.68981,None,Yes,9.7,,18:20:38,18:37:29,18:48:30,19:08:50,14:00,2046.738011,1211.266697,571.8090994,17,21,2.72535021,12,42.44011211,751
1957,B18-10320,9/6/2018 0:00,32.57657,-117.33803,32.58459,-117.34057,32.58817,-117.34275,191,176,32.58872,-117.34058,None,Yes,10.3,Pressure sensor data showed trawl start depth 212m and trawl end depth 201m.,11:46:50,11:56:20,12:06:47,12:16:58,10:00:00,922.9932697,212.3034314,447.4173085,10,11,1.48869882,11,48.06051886,620
1958,B18-10348,8/9/2018 0:00,33.07053,-117.40463,33.09377,-117.41701,33.10158,-117.42091,403,445,33.10466,-117.42087,None,Yes,7.7,We made an adjustment to the time on bottom since our past couple of trawls have taken several minutes for the net to reach bottom after target wire pay out is met (5 additional minutes).  According to pressure sensor net fished for 12 minutes.,14:14:24,14:41:47,14:57:50,15:21:02,16:00:00,2829.901146,342.5006364,941.3596408,28,24,2.17684704,17,9.54578982,1300
1959,B18-10283,7/18/2018 0:00,34.26482,-119.69751,34.27594,-119.71609,34.27933,-119.71996,199,199,34.28523,-119.72981,None,Yes,9.56,,9:26:38,9:44:42,9:54:43,10:16:14,14:00,2108.044229,1117.770719,518.2012261,19,22,2.66503695,11,13.08122216,791
1960,B18-10284,7/18/2018 0:00,34.26116,-119.64574,34.27078,-119.65559,34.27398,-119.65929,132,131,34.27805,-119.6666,None,Yes,9.96,,8:08:36,8:21:47,8:31:48,8:48:04,18:00,1401.276324,809.912652,492.1393106,14,17,2.383123,11,9.60191122,588
1961,B18-10325,7/18/2018 0:00,34.23984,-119.78048,34.25953,-119.80355,34.26382,-119.8069,268,269,34.2762,-119.82528,None,Yes,8.78,,11:12:25,11:36:04,11:46:08,12:14:14,12:00,3047.921296,2178.891014,567.7451337,24,29,3.06631921,11,6.34294371,994
1962,B18-10328,7/18/2018 0:00,34.22615,-119.8221,34.25044,-119.83646,34.25439,-119.84005,391,394,34.25693,-119.85865,None,Yes,7.6,Captain noted strong current ,12:59:59,13:24:49,13:34:50,14:03:26,7:00,3006.247172,1732.633847,549.3501709,25,29,2.94441447,11,44.62626141,1021
1963,B18-10332,7/18/2018 0:00,34.19733,-119.81336,34.17379,-119.79679,34.16935,-119.79235,395,393,34.16637,-119.77629,None,Yes,8.36,Captain noted strong current ,15:17:03,15:42:52,15:54:53,16:24:43,8:00,3028.945344,1514.255661,640.7763623,26,30,2.88196512,13,12.53493863,1051
1964,B18-10333,7/18/2018 0:00,34.15912,-119.86553,34.1582,-119.83183,34.15834,-119.8255,405,405,34.1575,-119.81315,None,Yes,7.48,,17:24:53,17:52:00,18:04:02,18:35:17,11:00,3102.499345,1140.193284,582.6481424,28,32,2.87002715,13,6.73731656,1081
1965,B18-10335,7/19/2018 0:00,34.14881,-119.80489,34.14554,-119.77265,34.14575,-119.76707,363,363,34.14379,-119.75443,Other trawl failure,Yes,8.22,"The catch for this trawl was very large, similar to B18-10333. We decided that due to limited time in the area it was better to trawl the five other sites planned for the day instead of spending the day processing this site. The catch was not processed.",8:05:27,8:30:12,8:41:13,9:10:42,12:00,2989.075895,1183.466655,514.0380482,25,30,2.89358751,12,6.56580284,1033
1966,B18-10338,7/19/2018 0:00,34.12395,-119.66241,34.11874,-119.63278,34.11815,-119.62782,258,257,34.11623,-119.6153,None,Yes,8.82,,10:15:51,10:39:03,10:49:05,11:15:48,11:00,2788.372338,1172.165199,461.2869886,24,27,2.8452779,11,0.16870886,980
1967,B18-10292,7/19/2018 0:00,34.20242,-119.66507,34.19639,-119.64124,34.19537,-119.63614,214,213,34.19316,-119.62516,None,Yes,9.2,,13:07:01,13:26:54,13:36:55,14:00:27,14:00,2291.867637,1039.337387,482.5731622,20,24,2.62227418,11,2.52563087,874
1968,B18-10290,7/19/2018 0:00,34.19345,-119.55362,34.20405,-119.56643,34.20813,-119.56892,134,138,34.21487,-119.57515,None,Yes,9.76,An error with the winch during retrieval resulted in a trawl with a bottom time >20 minutes. Due to limited time in the area we could not retrawl the station.,15:52:47,16:05:52,16:15:54,16:35:45,22:00,1666.497324,943.328873,508.1868678,14,20,2.80555105,11,50.76444904,594
1969,B18-10291,7/19/2018 0:00,34.21005,-119.58641,34.19934,-119.5748,34.19643,-119.57049,147,148,34.19856,-119.56738,None,Yes,9.62,,14:44:03,14:57:59,15:08:00,15:25:19,14:00,1599.430004,371.3579575,511.6893671,14,18,2.43444445,11,5.85059428,657
1970,B18-10949,7/19/2018 0:00,34.25075,-119.70809,34.24795,-119.6857,34.24689,-119.68073,200,198,34.24831,-119.67071,None,Yes,9.14,,17:31:14,17:48:43,17:58:43,18:19:46,14:00,2081.35723,934.4274645,471.7803114,18,22,2.59844848,10,18.38468996,801
1971,B18-10297,7/20/2018 0:00,34.12964,-119.34952,34.12406,-119.33498,34.12197,-119.32972,128,128,34.12315,-119.31995,None,Yes,9.91,,9:33:36,9:46:26,9:56:27,10:12:12,14:00,1475.192252,908.8647604,537.072735,13,16,2.46687668,11,21.84090956,598
1972,B18-10296,7/20/2018 0:00,34.12339,-119.34543,34.13115,-119.36691,34.13326,-119.37241,172,174,34.13463,-119.38311,None,Yes,9.62,,8:19:46,8:36:34,8:46:37,9:07:21,19:00,2157.243595,996.5315007,557.953137,17,21,2.81992627,11,38.4496736,765
1973,B18-10294,7/20/2018 0:00,34.13995,-119.40473,34.13366,-119.38332,34.13257,-119.37811,187,187,34.13241,-119.37033,None,Yes,9.58,,7:07:03,7:24:35,7:34:36,7:55:16,18:00,2090.937678,716.2979653,494.6087662,18,21,2.60715421,11,15.0854846,802
1974,B18-10224,8/16/2018 0:00,33.69452,-118.28869,33.69489,-118.29314,33.69563,-118.29863,27,27,33.69929,-118.30457,None,Yes,14.46,,8:28:13,8:31:54,8:41:55,8:51:54,10:00,413.7414256,683.8126977,514.5250377,4,10,2.89329668,11,8.29198896,143
1975,B18-10343,8/16/2018 0:00,33.67754,-118.32445,33.69294,-118.345,33.69571,-118.34878,279,283,33.69869,-118.35885,None,Yes,8.88,,10:19:16,10:41:05,10:51:08,11:16:05,15:00,2558.827229,988.7732746,466.01008,22,25,2.70775368,11,17.41060112,945
1976,B18-10310,8/16/2018 0:00,33.75576,-118.44986,33.76461,-118.45652,33.7681,-118.45984,88,87,33.77033,-118.46622,None,Yes,11.36,,12:43:13,12:52:53,13:02:55,13:14:52,12:00,1160.803095,639.7423686,494.7541829,10,12,2.54005054,11,14.12479704,457
1977,B18-10342,8/17/2018 0:00,33.87781,-118.66037,33.90419,-118.66488,33.90773,-118.66808,432,461,33.91774,-118.66373,Improper Bottom Time,Yes,8.64,,13:04:18,13:30:16,13:40:18,14:09:21,1:00,2962.713789,1183.232634,492.094505,26,30,2.77928123,11,13.76333024,1066
1978,B18-10307,8/17/2018 0:00,33.94275,-118.57853,33.95554,-118.59111,33.9588,-118.59503,155,153,33.96351,-118.6009,None,Yes,10.6,,10:36:23,10:51:26,11:01:27,11:22:14,12:00,1835.506061,753.242793,511.9753503,16,21,2.68348839,11,2.13355708,684
1979,B18-10342,8/17/2018 0:00,33.92261,-118.69319,33.90695,-118.6686,33.90611,-118.66417,445,427,33.90787,-118.6465,Doors - No contact with bottom,Yes,7.5,,14:51:10,15:17:00,15:27:03,15:56:26,0:00,2860.238169,1642.387788,419.3615034,26,30,2.67062387,11,51.34139147,1071
1980,B18-10342,9/4/2018 0:00,33.87598,-118.6563,33.90362,-118.66358,33.90686,-118.6685,433,441,33.91342,-118.65989,None,Yes,7.24,,10:12:31,10:40:01,10:54:07,11:25:00,16:00,3146.03052,1078.6055,579.6214424,28,31,2.79647157,15,52.14301721,1125
1981,B13-9407,8/13/2013 0:00,33.62297,-118.20363,33.62181,-118.19858,33.62046,-118.19315,43,43,33.6199,-118.18819,Torn Net,Yes,11.6,Majority of the net was lost,10:29:23,10:33:40,10:43:42,10:51:21,10:33:27,485.0568154,463.4729775,524.7157827,5,8,2.55293061,11,12575723.14,190
