"objectid","stationid","sampledate","trawlnumber","samplingorganization","debristype","debriscount","estimatecategory","comments","gdb_geomattr_data","shape","created_user","created_date","last_edited_user","last_edited_date","globalid"
2300,"B18-10989","2018-09-05 00:00:00",1,"City of San Diego","Paper","2.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{6A177741-9B88-4E78-8ACE-69F49785FAD9}"
2301,"B18-10992","2018-09-07 00:00:00",1,"City of San Diego","Other Marine (comment req.)","68.00000000","Not Recorded","Encrusting coral",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{D4A73DF9-EE3D-4DD8-94A2-CA5D965F4A01}"
2302,"B18-10992","2018-09-07 00:00:00",1,"City of San Diego","Other Metal (comment req.)","100.00000000","Not Recorded","Count is a very rough estimate; Aluminum plane pieces (20.3 kg)",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{76C04111-49CE-49D3-9DF1-C73476C20E4A}"
2303,"B18-11032","2018-08-09 00:00:00",1,"City of San Diego","None","0.00000000","Not Recorded","No problem with trawl",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{694A4458-86F1-401B-93F9-772A59C02ACE}"
2304,"B18-10000","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","1 Egregia strand",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{06B84320-F6B3-45BF-9542-28401B0BE7D3}"
2305,"B18-10001","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","None","0.00000000","Not Recorded","No problems with trawl",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{817972B3-35BB-4687-866B-FC764C8AAB51}"
2306,"B18-10002","2018-07-30 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","1 blade of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{43EE7139-A1C6-4776-8820-B6232A9DF5AB}"
2307,"B18-10003","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","1 apical end of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{16675F4B-2335-42E9-9FCE-5FEA590B3C9B}"
2308,"B18-10003","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Food Bag/Wrapper","1.00000000","Not Recorded","1 small piece",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{F8ADD499-73CC-407B-ACC6-9D166393C179}"
2309,"B18-10004","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","None","0.00000000","Not Recorded","No problems with trawl",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{FA20C41D-5496-47F3-A565-DEBD6F1B5968}"
2310,"B18-10005","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","2.00000000","Not Recorded","2 pieces of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{C72E023A-FA11-45E6-9653-FC3AE5BDB3E0}"
2311,"B18-10005","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Stick/Branch/Driftwood","1.00000000","Not Recorded","1 stick",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{DC77FD31-0D04-4472-A903-30D81D8840E3}"
2312,"B18-10006","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","None","0.00000000","Not Recorded","No problems with trawl",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{B6411EB0-52D2-4729-A693-620C5016EB2D}"
2313,"B18-10007","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","3.00000000","Not Recorded","2 small pieces of Macrocystis, 1 small piece of other brown algae",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{8CE85E99-EC81-4B55-843B-2EA0C26D8379}"
2314,"B18-10007","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Bag","1.00000000","Not Recorded","1 broken down piece of a grocery bag",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{AEA12901-74BF-4999-938B-A4A2A090CE2D}"
2315,"B18-10007","2018-07-19 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Tire","1.00000000","Not Recorded","16"" car tire from a tug boat",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{782CC565-ADD0-4A32-8BE7-D1CD55554604}"
2316,"B18-10008","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","Single strand of Egregia",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{F56F046A-2F2D-4381-B7A7-235737F184AF}"
2317,"B18-10008","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Foliose Algae - not kelp","1.00000000","Not Recorded","Degraded green algae",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{1E4914CB-1ACE-4C25-B5CD-F10B23380E18}"
2318,"B18-10008","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Food Bag/Wrapper","1.00000000","Not Recorded","1980 Ruffles Cheddar & Sour Cream potato chip bag - 1.125 oz ",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{A61281D4-3E84-46F4-AB78-4C626ACF1188}"
2319,"B18-10008","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Drink Can","1.00000000","Not Recorded","Old Budweiser shredded can",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{19255333-F250-47A7-9D49-B13F80BF5727}"
2320,"B18-10011","2018-08-01 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","Macrocystis blade",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{D0D8FB0E-5C51-4387-894F-E8341EF8BB37}"
2321,"B18-10012","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Bag","1.00000000","Not Recorded","1 dog poop bag",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{1E0E6910-5DBF-477A-8969-B9882811AFF8}"
2322,"B18-10012","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Fishing Line/Net","2.00000000","Not Recorded","2 pieces of fishing line",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{E9AB0645-FC09-4CC6-97B4-F975ADB4ABCA}"
2323,"B18-10012","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Foliose Algae - not kelp","-88.00000000","High","Red and green algae",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{C214DA20-D391-4ADB-B954-642164141A4D}"
2324,"B18-10012","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","-88.00000000","High","Macrocystis  ",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{BE2092BB-285F-417F-947B-F3C0309F8BF1}"
2325,"B18-10012","2018-07-17 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","2.00000000","Not Recorded","2 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{B2651286-F6AB-41EF-BFC5-1164D82AB097}"
2326,"B18-10218","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","9.00000000","Not Recorded","7 blades & stipes of Macrocystis, 1 strand of Egregia, 1 blade of Laminaria",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{49435270-A1D3-4FB4-8EE2-757E82017034}"
2327,"B18-10218","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Foliose Algae - not kelp","1.00000000","Not Recorded","Rhodomenia",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{6681BA5C-2D1B-4C2C-A05C-8FB885404FCE}"
2328,"B18-10218","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","4.00000000","Not Recorded","4 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{83A13F25-742E-49C2-914F-40924FAFC6B5}"
2329,"B18-10218","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Other Marine (comment req.)","-88.00000000","High","Thalamoporella californica (Bryozoan), large quantities to explain presence of nudibranchs",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{3180115D-9B5C-497B-B819-333E58820CDB}"
2330,"B18-10219","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Foliose Algae - not kelp","4.00000000","Not Recorded","1 Sargassum, 2 Chondracanthus, 1 Plocamium",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{234AFF97-77D8-4987-A799-197549DE2B79}"
2331,"B18-10219","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","4.00000000","Not Recorded","1 stipe, 3 blades of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{5E3CD6F9-9860-4450-B8A7-8DCF2998AA4C}"
2332,"B18-10219","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Stick/Branch/Driftwood","1.00000000","Not Recorded","1 stick",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{E1AAE259-823C-4FA8-95F8-1E1ED6489735}"
2333,"B18-10250","2018-08-21 00:00:00",2,"City of Los Angeles Environmental Monitoring Division","Other Plastic (comment req.)","1.00000000","Not Recorded","Anthropogenic house sponge",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{836E2E1B-CDA2-4B45-89F7-157290BFBE72}"
2334,"B18-10250","2018-08-21 00:00:00",2,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","-88.00000000","Moderate","Egregia strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{69A0CAEA-DCAA-43B1-A2B0-CF79F866AE7C}"
2335,"B18-10253","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Polypropylene Rope","1.00000000","Not Recorded","1 small piece",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{D4DC97A1-7E02-45C7-B9FA-3A89B9F7FB22}"
2336,"B18-10253","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","5.00000000","Not Recorded","5 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{97C60D74-709F-4513-90F3-8C485A3AC42E}"
2337,"B18-10254","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","2.00000000","Not Recorded","1 blade and 1 stipe of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{165BCF94-5CB5-4C56-AF95-DF688CDA8A24}"
2338,"B18-10254","2018-09-04 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","3.00000000","Not Recorded","3 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{A0969711-35BC-4385-B0AF-CC0AE89138FE}"
2339,"B18-10255","2018-09-18 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","2.00000000","Not Recorded","1 Macrocystis stipe, 1 very large strand of Egregia (6ft long with 10 branches)",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{EB079348-BBEE-4D6B-847C-D211575D34F6}"
2340,"B18-10303","2018-08-21 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Food Bag/Wrapper","3.00000000","Not Recorded","3 pieces of cheetos bag(s?)",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{F2CB0728-882A-4C38-9879-42C10A7AC0F5}"
2341,"B18-10303","2018-08-21 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Polypropylene Rope","1.00000000","Not Recorded","1 thick piece",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{81533E3C-42DA-46C6-9779-D6AED50BA4C8}"
2342,"B18-10303","2018-08-21 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","6.00000000","Not Recorded","6 blades of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{D5ABEF5E-D59C-45AD-96D7-6F20522F15D2}"
2343,"B18-10303","2018-08-21 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","2.00000000","Not Recorded","2 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{82520FC4-2DB4-4A84-AE60-32046AD6CB40}"
2344,"B18-10303","2018-08-21 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Leaves/Seed Pod","1.00000000","Not Recorded","1 leaf",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{82BB9D57-5733-456C-8B73-8B5CA2A02E25}"
2345,"B18-10303","2018-08-21 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Stick/Branch/Driftwood","1.00000000","Not Recorded","1 stick",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{F23CE81F-F072-431E-92D4-213DABEC7C2D}"
2346,"B18-10304","2018-09-11 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","2.00000000","Not Recorded","2 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{A71A84FD-4C88-4A57-BAF5-B29D95DFC188}"
2347,"B18-10308","2018-09-18 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","None","0.00000000","Not Recorded","No problems with trawl",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{1CA9A60C-1C49-4AEE-9E4B-2BC937A6F6DD}"
2348,"B18-10309","2018-08-28 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","None","0.00000000","Not Recorded","No problems with trawl",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{C07ADB0D-0245-43FC-BB15-99D0F45A5811}"
2349,"B18-10311","2018-08-28 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","5.00000000","Not Recorded","3 blades and 2 stipes of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{04FE1C1F-4746-4D65-9038-2FC6DE25A39E}"
2350,"B18-10341","2018-08-29 00:00:00",2,"City of Los Angeles Environmental Monitoring Division","None","0.00000000","Not Recorded","No problems with trawl",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{9E7FAA9F-C30E-4BFE-A234-CE178E262791}"
2351,"B18-10411","2018-07-30 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","1 Egregia strand",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{2443B06B-88BC-4018-B4FE-DED2238270C1}"
2352,"B18-10417","2018-07-30 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","1 blade of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{011B60C4-28FB-424A-B090-60BDB6874FDA}"
2353,"B18-10905","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","9.00000000","Not Recorded","5 blades of Macrocystis, 4 blades of Laminariales",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{C9FE4652-BB16-4AAF-9548-8138C9F1F8C9}"
2354,"B18-10905","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","4.00000000","Not Recorded","4 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{0C598D33-544F-4D84-9FDD-42966490702E}"
2355,"B18-10911","2018-08-28 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","4.00000000","Not Recorded","4 beat up blades of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{8EB68049-CCE9-47E0-B179-19F96A11C375}"
2356,"B18-10911","2018-08-28 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Other Marine (comment req.)","-88.00000000","Moderate","large worm tubes and large shell hash",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{6950A8BD-9F26-427E-8383-1566138494A1}"
2357,"B18-10968","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Kelp Stipe/Blade","1.00000000","Not Recorded","1 blade of Macrocystis",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{3B14E907-FCE1-462D-9AFE-27C410E93979}"
2358,"B18-10968","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Seagrass","5.00000000","Not Recorded","5 strands",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{3AE137D8-0778-4709-BB6B-6F0EEF04AF2A}"
2359,"B18-10968","2018-09-05 00:00:00",1,"City of Los Angeles Environmental Monitoring Division","Stick/Branch/Driftwood","1.00000000","Not Recorded","1 stick",NULL,NULL,"checker","2018-11-29 15:43:38","checker","2018-11-29 15:43:38","{17983014-7A17-41D3-9567-972551D09D8A}"
2360,"B18-10207","2018-08-08 00:00:00",1,"Aquatic Bioassay and Consulting Laboratories","Beer Bottle","1.00000000","Not Recorded","",NULL,NULL,"checker","2018-12-05 11:20:20","checker","2018-12-05 11:20:20","{08F196A2-1B7E-470F-BA38-D02022039780}"
2361,"B18-10207","2018-08-08 00:00:00",1,"Aquatic Bioassay and Consulting Laboratories","Kelp Stipe/Blade","10.00000000","Not Recorded","",NULL,NULL,"checker","2018-12-05 11:20:20","checker","2018-12-05 11:20:20","{67DD9514-C52A-4C14-896C-CCCA0CB96B13}"
2362,"B18-10211","2018-08-27 00:00:00",1,"Aquatic Bioassay and Consulting Laboratories","Foliose Algae - not kelp","5.00000000","Not Recorded","",NULL,NULL,"checker","2018-12-05 11:20:20","checker","2018-12-05 11:20:20","{AB01B4C5-7FDB-4339-94A3-5935A6EFB50D}"
2363,"B18-10211","2018-08-27 00:00:00",1,"Aquatic Bioassay and Consulting Laboratories","Stick/Branch/Driftwood","1.00000000","Not Recorded","",NULL,NULL,"checker","2018-12-05 11:20:20","checker","2018-12-05 11:20:20","{CC4A2191-74BD-457C-AA71-47352BB147D6}"
